stage,context,score,n_samples,mean_score,sd_score,total_cells
LUAD,macrophage,inflammatory_macrophage,24,0.3398105606453127,0.10221030542024899,39111
LUAD,macrophage,macrophage,24,2.106952116768127,0.3294503650918524,39111
LUAD,macrophage,refined_c1q_macrophage,24,0.7154138377822082,0.19381268281934613,39111
LUAD,macrophage,refined_epithelial_progenitor_like,24,0.23336106137320592,0.04967739614761941,39111
LUAD,macrophage,refined_inflammatory_macrophage,24,0.27425417176092126,0.059950854377792434,39111
LUAD,macrophage,refined_spp1_macrophage,24,0.2368143085204219,0.057961288725430896,39111
LUAD,macrophage,spp1_macrophage,24,1.3626653049985782,0.2220723768884631,39111
MIA,all_cells,c1q_macrophage,4,0.28638104409496684,0.052696579929101005,27831
MIA,all_cells,epithelial,4,0.752587319049163,0.048244208055111926,27831
MIA,all_cells,epithelial_progenitor_like,4,0.4498914224440782,0.05587544890442015,27831
MIA,all_cells,inflammatory_macrophage,4,0.17705622730006312,0.05396432936401801,27831
MIA,all_cells,macrophage,4,0.2482186922544402,0.03013995237710869,27831
MIA,all_cells,refined_c1q_macrophage,4,0.22613442297027364,0.028448083925671535,27831
MIA,all_cells,refined_epithelial_progenitor_like,4,0.35590022612700756,0.055806962173647334,27831
MIA,all_cells,refined_inflammatory_macrophage,4,0.15584301752155183,0.027320983734289143,27831
MIA,all_cells,refined_spp1_macrophage,4,0.1156002893802312,0.01529102393107158,27831
MIA,all_cells,spp1_macrophage,4,0.3604630702971748,0.05414282961787264,27831
MIA,epithelial,c1q_macrophage,4,0.11822739989622692,0.07578880686817559,7603
MIA,epithelial,epithelial,4,1.7002046154439894,0.06583259535050257,7603
MIA,epithelial,epithelial_progenitor_like,4,1.3005018673870725,0.09093331066363439,7603
MIA,epithelial,inflammatory_macrophage,4,0.23033267749053585,0.0818804738670702,7603
MIA,epithelial,macrophage,4,0.10202950143113913,0.0475389198596111,7603
MIA,epithelial,refined_c1q_macrophage,4,0.27325405573036415,0.018005964698637328,7603
MIA,epithelial,refined_epithelial_progenitor_like,4,0.7917073497070337,0.08705282065410436,7603
MIA,epithelial,refined_inflammatory_macrophage,4,0.158495583551355,0.036643820612375554,7603
MIA,epithelial,refined_spp1_macrophage,4,0.18389266916221553,0.015087933637770778,7603
MIA,epithelial,spp1_macrophage,4,0.5473606507773614,0.0789418978906663,7603
MIA,macrophage,c1q_macrophage,4,2.2770285039519655,0.12234805486124241,2022
MIA,macrophage,epithelial,4,0.4075461720025193,0.02129007729035752,2022
MIA,macrophage,epithelial_progenitor_like,4,0.12267088099746418,0.035150323470895646,2022
MIA,macrophage,inflammatory_macrophage,4,0.3329265211606163,0.054000462161415984,2022
MIA,macrophage,macrophage,4,1.9134307531071308,0.11339006672100069,2022
MIA,macrophage,refined_c1q_macrophage,4,0.7508900821143409,0.12172859634034211,2022
MIA,macrophage,refined_epithelial_progenitor_like,4,0.19316723459102053,0.034517303272579215,2022
MIA,macrophage,refined_inflammatory_macrophage,4,0.250158034204845,0.04324206650899087,2022
MIA,macrophage,refined_spp1_macrophage,4,0.15915153143533775,0.018578479594492145,2022
MIA,macrophage,spp1_macrophage,4,1.0838606995949611,0.05827272740279502,2022
Normal,all_cells,c1q_macrophage,24,0.34520672334544017,0.1899427453537032,181910
Normal,all_cells,epithelial,24,0.8433027356837653,0.31965098154238925,181910
Normal,all_cells,epithelial_progenitor_like,24,0.41715228962130907,0.1557524622540278,181910
Normal,all_cells,inflammatory_macrophage,24,0.22055139420326067,0.10072898320270063,181910
Normal,all_cells,macrophage,24,0.30266385954434605,0.15641385171889646,181910
Normal,all_cells,refined_c1q_macrophage,24,0.23632825479924133,0.08804910942893991,181910
Normal,all_cells,refined_epithelial_progenitor_like,24,0.3335809072497074,0.1030784661204258,181910
Normal,all_cells,refined_inflammatory_macrophage,24,0.1684840355488361,0.05723067757597276,181910
Normal,all_cells,refined_spp1_macrophage,24,0.11703204017472281,0.031159561779327542,181910
Normal,all_cells,spp1_macrophage,24,0.38703167314405573,0.14988258151545317,181910
Normal,epithelial,c1q_macrophage,24,0.15668568600989158,0.11693610933378322,56242
Normal,epithelial,epithelial,24,1.7161408066711852,0.20787298762479883,56242
Normal,epithelial,epithelial_progenitor_like,24,1.0762727775222374,0.21506437597389202,56242
Normal,epithelial,inflammatory_macrophage,24,0.2794741237776684,0.12760684464133268,56242
Normal,epithelial,macrophage,24,0.1420359559231749,0.09354113410211308,56242
Normal,epithelial,refined_c1q_macrophage,24,0.24639509322845668,0.05500001718457174,56242
Normal,epithelial,refined_epithelial_progenitor_like,24,0.6407929239109821,0.1273102392673412,56242
