contrast,gene,group_sum,background_sum,group_detected,background_detected,n_group,n_background,mean_group,mean_background,pct_group,pct_background,log2fc,delta_pct,marker_score
epithelial_progenitor_like_vs_other_epithelial,KRT18,17990,53298,1793,8317,1840,11006,9.777173913043478,4.842631292022533,0.9744565217391304,0.7556787206978012,1.013626201545932,0.21877780104132927,0.22175891145209425
epithelial_progenitor_like_vs_other_epithelial,TM4SF1,15653,41274,1341,5956,1840,11006,8.507065217391304,3.7501362892967474,0.7288043478260869,0.5411593676176631,1.1817182714088712,0.1876449802084238,0.22174350165045043
epithelial_progenitor_like_vs_other_epithelial,EMP2,10390,27178,1305,5806,1840,11006,5.646739130434782,2.469380337997456,0.7092391304347826,0.5275304379429402,1.1932685942614225,0.1817086924918424,0.21682727605482188
epithelial_progenitor_like_vs_other_epithelial,CAV2,3020,7773,823,2991,1840,11006,1.641304347826087,0.7062511357441396,0.4472826086956522,0.2717608577139742,1.2165884319396048,0.175521750981678,0.2135377317980934
epithelial_progenitor_like_vs_other_epithelial,ANXA2,14046,39959,1488,6766,1840,11006,7.633695652173913,3.63065600581501,0.808695652173913,0.6147555878611667,1.0721512150952113,0.19394006431274635,0.20793307560855442
epithelial_progenitor_like_vs_other_epithelial,MDK,3724,11144,888,3132,1840,11006,2.023913043478261,1.012538615300745,0.4826086956521739,0.2845720516082137,0.9991696653380217,0.1980366440439602,0.19787220735406863
epithelial_progenitor_like_vs_other_epithelial,SPINT1,2300,6881,929,3394,1840,11006,1.25,0.6252044339451208,0.5048913043478261,0.30837724877339634,0.9995270264186783,0.1965140555744298,0.19642110961778472
epithelial_progenitor_like_vs_other_epithelial,PERP,5447,16374,1163,4796,1840,11006,2.9603260869565218,1.4877339632927493,0.6320652173913044,0.4357623114664728,0.9926390518471675,0.19630290592483157,0.19485793041206853
epithelial_progenitor_like_vs_other_epithelial,IFT57,3958,12254,1012,3900,1840,11006,2.151086956521739,1.1133926948936943,0.55,0.35435217154279486,0.950102698372693,0.1956478284572052,0.1858855297479484
epithelial_progenitor_like_vs_other_epithelial,PLPP2,1804,5255,773,2655,1840,11006,0.9804347826086957,0.47746683627112485,0.4201086956521739,0.24123205524259494,1.0380195867174768,0.17887664040957896,0.18567745635136187
epithelial_progenitor_like_vs_other_epithelial,CST6,1186,3161,592,1796,1840,11006,0.6445652173913043,0.28720697801199346,0.3217391304347826,0.16318371797201525,1.1662327520893803,0.15855541246276733,0.18491251503511996
epithelial_progenitor_like_vs_other_epithelial,SOX4,15931,49976,1361,5969,1840,11006,8.658152173913043,4.540795929493004,0.7396739130434783,0.5423405415228058,0.9311138049601294,0.19733337152067254,0.18373982640222425
epithelial_progenitor_like_vs_other_epithelial,RND3,2311,6638,735,2499,1840,11006,1.2559782608695653,0.6031255678720698,0.39945652173913043,0.22705796838088316,1.0582799494072959,0.17239855335824728,0.18244593232585693
epithelial_progenitor_like_vs_other_epithelial,IFI27,18746,53908,1142,4933,1840,11006,10.18804347826087,4.898055606033073,0.6206521739130435,0.44821006723605306,1.0565958110571259,0.17244210667699045,0.18220160756477413
epithelial_progenitor_like_vs_other_epithelial,CYP4B1,5431,15891,964,3848,1840,11006,2.951630434782609,1.4438488097401418,0.5239130434782608,0.34962747592222426,1.0315919058690237,0.17428556755603658,0.17979158080059626
epithelial_progenitor_like_vs_other_epithelial,CTGF,9829,27345,1008,4238,1840,11006,5.341847826086957,2.4845538797019806,0.5478260869565217,0.3850626930765037,1.1043517394076565,0.16276339388001798,0.17974803714329138
epithelial_progenitor_like_vs_other_epithelial,RAB11FIP1,5000,15388,1144,4795,1840,11006,2.717391304347826,1.3981464655642377,0.6217391304347826,0.43567145193530804,0.9587063266872711,0.18606767849947453,0.17838426056945936
proliferating_epithelial_vs_other_epithelial,PCNA,4828,541,2615,448,2909,9937,1.6596768649020281,0.054442990842306534,0.8989343416981781,0.0450840293851263,4.929986615836297,0.8538503123130518,4.209470611630987
proliferating_epithelial_vs_other_epithelial,TOP2A,1670,49,546,47,2909,9937,0.5740804400137505,0.004931065713998189,0.1876933654176693,0.004729797725671732,6.862919581884575,0.18296356769199756,1.2556642514848741
proliferating_epithelial_vs_other_epithelial,PCLAF,2647,413,438,285,2909,9937,0.9099346854589206,0.041561839589413306,0.1505672052251633,0.028680688336520075,4.452398450564664,0.12188651688864321,0.5426873389397189
proliferating_epithelial_vs_other_epithelial,MKI67,485,11,195,10,2909,9937,0.16672396012375387,0.0011069739357955116,0.06703334479202475,0.0010063399416322834,7.233402350271582,0.06602700485039247,0.477599892066222
proliferating_epithelial_vs_other_epithelial,STMN1,8905,6270,1415,2814,2909,9937,3.06118941216913,0.6309751434034416,0.48642145067033343,0.28318405957532455,2.2784354217242657,0.20323739109500888,0.46306327088969607
proliferating_epithelial_vs_other_epithelial,CKS1B,5323,3905,1308,2467,2909,9937,1.8298384324510142,0.3929757472074067,0.44963905122035064,0.24826406360068431,2.2192012037120703,0.20137498761966632,0.4468916149230668
proliferating_epithelial_vs_other_epithelial,TUBB,8578,6559,1506,3205,2909,9937,2.9487796493640426,0.6600583677166146,0.517703678239945,0.3225319512931468,2.159450813053836,0.19517172694679819,0.4214637444403846
proliferating_epithelial_vs_other_epithelial,TK1,1602,561,467,407,2909,9937,0.5507047095221725,0.056455670725571096,0.1605362667583362,0.04095803562443393,3.2860656058640836,0.11957823113390229,0.39294191253918204
proliferating_epithelial_vs_other_epithelial,TYMS,1154,329,394,264,2909,9937,0.39669989687177726,0.03310858407970212,0.13544173255414232,0.026567374459092283,3.582730866243235,0.10887435809505004,0.3900675232895548
proliferating_epithelial_vs_other_epithelial,H2AFV,9961,10012,1919,4427,2909,9937,3.4242007562736334,1.0075475495622421,0.6596768649020281,0.44550669216061184,1.7649183509219752,0.2141701727414163,0.37799286809145505
proliferating_epithelial_vs_other_epithelial,UBE2T,1326,455,415,352,2909,9937,0.45582674458576833,0.0457884673442689,0.1426607081471296,0.03542316594545637,3.3154010511392364,0.10723754220167324,0.3555354601370157
proliferating_epithelial_vs_other_epithelial,DEK,7370,8005,1739,3813,2909,9937,2.5335166723960123,0.8055751232766428,0.5977999312478515,0.38371741974438967,1.6530490637254334,0.2140825115034618,0.35388889520078687
