gene,mean_expression,n_reference_samples
ABCF1,0.008031559322416466,5
ABCF2,0.0036538781480320664,5
ABCF3,0.0053330634778938875,5
ABCG1,0.007318729765734888,5
ABCG2,0.0008453100320379081,5
ABCG4,4.012481888470837e-05,5
ABCG5,0.0002521387626175809,5
ABCG8,0.00012704399865777407,5
ABHD1,0.0003268224990084272,5
ABHD10,0.0022196492852832794,5
ABHD11,0.006539704031018401,5
ABHD12,0.004570664111503685,5
ABHD12B,0.0002288818276147091,5
ABHD13,0.0035738536510823227,5
ABHD14A,0.0026026664979880887,5
ABHD14B,0.008322497774773584,5
ABHD15,0.004224148306023698,5
ABHD16A,0.008597415749637297,5
ABHD16B,0.0003529079867628948,5
ABHD17B,0.006049793723591338,5
ABHD17C,0.006316877073763283,5
ABHD18,0.004338576219717889,5
ABHD2,0.02024553429348157,5
ABHD3,0.00800599210771299,5
ABHD4,0.0022409034820312645,5
ABHD5,0.0039928989623177775,5
ABHD6,0.002192430433654793,5
ABHD8,0.0013943673406100721,5
ABI1,0.012652762940238618,5
ABI2,0.009928192169603918,5
ABI3,0.0039059848157663203,5
ABI3BP,0.013988303780602746,5
ABL1,0.009549747051047932,5
ABL2,0.005998150002056192,5
ABLIM1,0.018231326654371056,5
ABLIM2,0.0012679896602125677,5
ABLIM3,0.0063055103620576845,5
ABO,0.0019111489331245426,5
ABR,0.01593530236716072,5
ABRA,0.00010102086327734283,5
ABRACL,0.018025855587889484,5
ABRAXAS1,0.003060159496862424,5
ABRAXAS2,0.0027743670739115113,5
ABT1,0.003314859073650744,5
ABTB1,0.010461539540949888,5
ABTB2,0.001760310462794237,5
AC004593.3,0.0002797516730101049,5
AC005551.1,0.0002670625160227218,5
AC007244.1,0.0,5
AC007906.2,0.005846272851708549,5
AC008397.1,0.0020226443646777508,5
AC008687.4,0.0003458105173234013,5
AC010255.3,0.0001321158894438506,5
AC010325.1,6.481692963892271e-06,5
AC011005.1,0.00011725570508760945,5
AC011195.2,0.00017837209020208164,5
AC013470.2,0.0006668819128662694,5
AC015871.1,0.0007695001037266545,5
AC021072.1,0.00020363655589874778,5
AC021097.2,0.0005054234395020761,5
AC025283.2,2.5894784531804223e-06,5
AC025287.4,0.00025122114025547535,5
AC067752.1,0.00051340928358728,5
AC072022.2,0.00021161999139004197,5
AC073111.4,0.002596363814477699,5
AC087498.1,0.00038320810248628433,5
AC090360.1,0.00022847118224720865,5
AC091057.6,0.0022773193692387952,5
AC092835.1,0.0019572853506960248,5
AC093323.1,0.0026134257902893712,5
AC099489.1,0.00040917660065707597,5
AC104389.5,0.00036910683193442,5
AC106774.4,0.00017319145776178746,5
AC113348.1,9.137195984575297e-05,5
AC115220.1,0.0001466663062501881,5
AC118549.1,0.00993282869545805,5
AC119396.1,0.0006178867742822333,5
AC132217.2,0.00022748717364356853,5
AC134684.8,1.2207479502290613e-05,5
AC135068.1,2.876876538053797e-05,5
AC138647.1,0.00034437850300866543,5
AC187653.1,0.00018988114787391792,5
AC233723.1,0.000353232035736771,5
AC236972.4,2.429685945071818e-05,5
ACAA1,0.017385879694622346,5
ACAA2,0.007688123770406004,5
ACACA,0.014388366944146188,5
ACACB,0.004068408730841453,5
ACAD10,0.00350830895104553,5
ACAD11,0.006549959439278131,5
ACAD8,0.003836118416127618,5
ACAD9,0.005460665295291435,5
ACADL,0.008562562035758612,5
ACADM,0.010112559725578837,5
ACADS,0.002976066707896702,5
ACADSB,0.004632775411088741,5
ACADVL,0.02254706622485538,5
ACAN,4.140937070428708e-05,5
ACAP1,0.004247200822425576,5
ACAP2,0.01590903904648968,5
ACAP3,0.010392377406994644,5
