sample,sample_name,stage,context,gene,n_cells,mean_expression,detection_fraction,status
GSM9237903,P3_LUAD,LUAD,epithelial,CXCR4,1021,0.0930250449937284,0.04995102840352596,present
GSM9237903,P3_LUAD,LUAD,epithelial,SPP1,1021,0.03207804602541814,0.015670910871694418,present
GSM9237903,P3_LUAD,LUAD,epithelial,TREM2,1021,0.01033926846789786,0.007835455435847209,present
GSM9237903,P3_LUAD,LUAD,epithelial,PLA2G7,1021,0.021165728799340318,0.012732615083251714,present
GSM9237903,P3_LUAD,LUAD,epithelial,IL1B,1021,0.03804330557983385,0.01762977473065622,present
GSM9237903,P3_LUAD,LUAD,epithelial,TNF,1021,0.0035612900583344223,0.0019588638589618022,present
GSM9237903,P3_LUAD,LUAD,epithelial,CXCL8,1021,0.2667643133318358,0.10675808031341821,present
GSM9237903,P3_LUAD,LUAD,macrophage,MIF,414,0.009899146065952906,0.007246376811594203,present
GSM9237903,P3_LUAD,LUAD,macrophage,CD74,414,2.3147400740629407,0.7439613526570048,present
GSM9237903,P3_LUAD,LUAD,macrophage,CD44,414,2.2813860359791365,0.7439613526570048,present
GSM9237903,P3_LUAD,LUAD,macrophage,CXCR4,414,0.6032332031989638,0.2584541062801932,present
GSM9237903,P3_LUAD,LUAD,macrophage,SPP1,414,0.5268802073524302,0.15942028985507245,present
GSM9237903,P3_LUAD,LUAD,macrophage,TREM2,414,0.3339379134707635,0.18840579710144928,present
GSM9237903,P3_LUAD,LUAD,macrophage,PLA2G7,414,0.7184762092137434,0.3140096618357488,present
GSM9237903,P3_LUAD,LUAD,macrophage,IL1B,414,0.28010369349317166,0.09420289855072464,present
GSM9237903,P3_LUAD,LUAD,macrophage,TNF,414,0.05630204492884689,0.036231884057971016,present
GSM9237903,P3_LUAD,LUAD,macrophage,CXCL8,414,0.8062777990868665,0.23671497584541062,present
GSM9237904,P4_Normal,Normal,all_cells,MIF,36862,0.25269175113051456,0.17378329987521024,present
GSM9237904,P4_Normal,Normal,all_cells,CD74,36862,3.48614461953502,0.9182627095654061,present
GSM9237904,P4_Normal,Normal,all_cells,CD44,36862,1.5380804703272914,0.6213716021919592,present
GSM9237904,P4_Normal,Normal,all_cells,CXCR4,36862,0.6120968120567213,0.27695187455916664,present
GSM9237904,P4_Normal,Normal,all_cells,SPP1,36862,0.005618896997002111,0.0039607183549454725,present
GSM9237904,P4_Normal,Normal,all_cells,TREM2,36862,0.1730258200881792,0.10110683088275188,present
GSM9237904,P4_Normal,Normal,all_cells,PLA2G7,36862,0.09714398967131979,0.05913949324507623,present
GSM9237904,P4_Normal,Normal,all_cells,IL1B,36862,0.040223685068923286,0.02484943844609625,present
GSM9237904,P4_Normal,Normal,all_cells,TNF,36862,0.11507657491847298,0.06760349411317888,present
GSM9237904,P4_Normal,Normal,all_cells,CXCL8,36862,0.04419536002838793,0.0230861049319082,present
GSM9237904,P4_Normal,Normal,epithelial,MIF,12981,0.2980019925711304,0.21284954934134503,present
GSM9237904,P4_Normal,Normal,epithelial,CD74,12981,3.5252587873539842,0.9416069640243433,present
GSM9237904,P4_Normal,Normal,epithelial,CD44,12981,1.5873959600249603,0.6581927432401202,present
GSM9237904,P4_Normal,Normal,epithelial,CXCR4,12981,0.39609012116360764,0.18619520838148063,present
GSM9237904,P4_Normal,Normal,epithelial,SPP1,12981,0.0025098717555781303,0.0019258916878514753,present
GSM9237904,P4_Normal,Normal,epithelial,TREM2,12981,0.05404967659772757,0.03813265541945921,present
GSM9237904,P4_Normal,Normal,epithelial,PLA2G7,12981,0.03263874749573981,0.02172405823896464,present
GSM9237904,P4_Normal,Normal,epithelial,IL1B,12981,0.015342199593137951,0.009167244434173022,present
GSM9237904,P4_Normal,Normal,epithelial,TNF,12981,0.06910075524627159,0.040289654109852864,present
GSM9237904,P4_Normal,Normal,epithelial,CXCL8,12981,0.023025003606175435,0.01247977813727756,present
GSM9237904,P4_Normal,Normal,macrophage,MIF,5957,0.2574562591976368,0.2387107604498909,present
GSM9237904,P4_Normal,Normal,macrophage,CD74,5957,4.964594500199594,0.989256337082424,present
GSM9237904,P4_Normal,Normal,macrophage,CD44,5957,1.8965277579562982,0.752895752895753,present
GSM9237904,P4_Normal,Normal,macrophage,CXCR4,5957,0.8405450862718988,0.4631525935873762,present
GSM9237904,P4_Normal,Normal,macrophage,SPP1,5957,0.01891181288853275,0.014436797045492698,present
GSM9237904,P4_Normal,Normal,macrophage,TREM2,5957,0.8092399813441361,0.4591237199932852,present
GSM9237904,P4_Normal,Normal,macrophage,PLA2G7,5957,0.43131526284136923,0.26238039281517544,present
GSM9237904,P4_Normal,Normal,macrophage,IL1B,5957,0.16756541877928557,0.10827597784119523,present
GSM9237904,P4_Normal,Normal,macrophage,TNF,5957,0.1535835103280694,0.12976330367634714,present
GSM9237904,P4_Normal,Normal,macrophage,CXCL8,5957,0.15284849422094954,0.08695652173913043,present
GSM9237905,P4_Normal1,Normal,all_cells,MIF,14328,0.25604569579755876,0.16150195421552205,present
GSM9237905,P4_Normal1,Normal,all_cells,CD74,14328,3.017506585562429,0.8500139586823003,present
GSM9237905,P4_Normal1,Normal,all_cells,CD44,14328,1.3895421708492908,0.5554857621440537,present
GSM9237905,P4_Normal1,Normal,all_cells,CXCR4,14328,0.28869460249680434,0.1314209938581798,present
GSM9237905,P4_Normal1,Normal,all_cells,SPP1,14328,0.0020688872196608274,0.0011166945840312675,present
GSM9237905,P4_Normal1,Normal,all_cells,TREM2,14328,0.0863836912839626,0.052763819095477386,present
GSM9237905,P4_Normal1,Normal,all_cells,PLA2G7,14328,0.025825717969619365,0.014447236180904523,present
GSM9237905,P4_Normal1,Normal,all_cells,IL1B,14328,0.03749508054826497,0.022962032384142936,present
GSM9237905,P4_Normal1,Normal,all_cells,TNF,14328,0.05539518591068352,0.03168620882188721,present
GSM9237905,P4_Normal1,Normal,all_cells,CXCL8,14328,0.03680308164736991,0.01933277498604132,present
GSM9237905,P4_Normal1,Normal,epithelial,MIF,5544,0.3112402328056407,0.19913419913419914,present
GSM9237905,P4_Normal1,Normal,epithelial,CD74,5544,3.1144736405664,0.8982683982683982,present
GSM9237905,P4_Normal1,Normal,epithelial,CD44,5544,1.6220271575090675,0.6533189033189033,present
