observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,status,sample,sample_name,stage,source,target,quantile,radius_multiplier,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction,axis_id,axis_label,evidence_type,gene_panel,genes
0.5208638360175696,0.35983528550512445,0.008025311291818967,0.16102855051244513,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_source,0.75,1.0,10928,2732,2732,1255,0.45937042459736455,0.530380673499268,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO"
0.5640556368960469,0.35965592972181554,0.00900300353932606,0.20439970717423134,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_target,0.75,1.0,10928,2732,2732,1358,0.4970717423133236,0.5629575402635432,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44"
0.31734992679355783,0.17901537335285508,0.007162589555054891,0.13833455344070275,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,mif_cd74_cxcr4_source,0.75,1.0,10928,2732,1294,630,0.23060029282576866,0.5494590417310664,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF
0.5889458272327965,0.35835651537335295,0.00836600253795085,0.2305893118594436,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,mif_cd74_cxcr4_target,0.75,1.0,10928,2732,2732,1462,0.5351390922401171,0.6017569546120058,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44"
0.09773060029282576,0.07617496339677891,0.005161788335171362,0.02155563689604685,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,cxcl9_cxcl10_cxcr3_source,0.75,1.0,10928,2732,538,183,0.06698389458272327,0.40892193308550184,cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,source_near_epithelial_progenitor,source,"CXCL9,CXCL10"
0.06954612005856516,0.044630307467057116,0.003945120361905778,0.02491581259150804,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,cxcl9_cxcl10_cxcr3_target,0.75,1.0,10928,2732,309,125,0.04575402635431918,0.4886731391585761,cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,target_near_epithelial_progenitor,target,CXCR3
0.44387928111224145,0.48325873177348255,0.010440878799725559,-0.0393794506612411,1.0,0.009900990099009901,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,spp1_trem2_macrophage_epithelial_source,0.75,1.0,11794,2949,2949,1086,0.36826042726347913,0.4476093591047813,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3"
0.628009494743981,0.4828179043743643,0.01028580947576653,0.14519159036961676,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,spp1_trem2_macrophage_epithelial_target,0.75,1.0,11794,2949,2949,1561,0.529331976941336,0.6137673787724652,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,target_near_epithelial_progenitor,target,"CD44,ITGAV,ITGB1,ITGA5"
0.6778569006442862,0.4826958290946084,0.009076645962033518,0.19516107154967777,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_source,0.75,1.0,11794,2949,2949,1404,0.4760935910478128,0.5879959308240081,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,source_near_epithelial_progenitor,source,"IL1B,TNF,CXCL8,CCL3,CCL4,NLRP3"
0.6998982706002035,0.4828348592743303,0.010318417520630927,0.2170634113258732,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_target,0.75,1.0,11794,2949,2949,1574,0.5337402509325195,0.6290267887419464,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,target_near_epithelial_progenitor,target,"IL1R1,IL1RAP,NFKBIA"
0.4591386910817226,0.4842387249915226,0.010084179477730867,-0.02510003390979998,1.0,0.009900990099009901,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_source,0.75,1.0,11794,2949,2949,1134,0.38453713123092575,0.46252967107494064,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO"
0.5530688368938623,0.48083079009833846,0.010851291718211994,0.07223804679552387,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_target,0.75,1.0,11794,2949,2949,1216,0.41234316717531366,0.4927093930145812,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44"
