sample,sample_name,stage,axis_id,axis_label,evidence_type,gene_panel,panel_genes,perturbation_id,perturbation_type,perturbed_genes,perturbation_factor,present_perturbed_genes,missing_perturbed_genes,baseline_panel_mean,perturbed_panel_mean,panel_mean_delta,baseline_observed_fraction,perturbed_observed_fraction,observed_fraction_delta,baseline_n_target_high,perturbed_n_target_high,baseline_status,perturbed_status
GSM9226201,P16_AIS,AIS,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO",c1q_apoe_trem2_lgals3_gene_TREM2_x0,gene,TREM2,0.0,TREM2,,0.013042452722354653,0.01276725386870787,-0.00027519885364678254,0.4892984542211653,0.4878121284185494,-0.0014863258026159287,3364,3364,ok,ok
GSM9226201,P16_AIS,AIS,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44",c1q_apoe_trem2_lgals3_gene_TREM2_x0,gene,TREM2,0.0,TREM2,,0.011808696697216202,0.011166566038707033,-0.0006421306585091685,0.547859690844233,0.5508323424494649,0.0029726516052318575,3364,3364,ok,ok
GSM9226201,P16_AIS,AIS,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO",c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,gene,TREM2,0.5,TREM2,,0.013042452722354653,0.012904853295531262,-0.00013759942682339127,0.4892984542211653,0.4887039239001189,-0.0005945303210463937,3364,3364,ok,ok
GSM9226201,P16_AIS,AIS,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44",c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,gene,TREM2,0.5,TREM2,,0.011808696697216202,0.011487631367961618,-0.00032106532925458425,0.547859690844233,0.549346016646849,0.0014863258026159842,3364,3364,ok,ok
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF,mif_cd74_cxcr4_gene_MIF_x0,gene,MIF,0.0,MIF,,0.0011631123408158781,0.0,-0.0011631123408158781,0.2208680142687277,0.0,-0.2208680142687277,966,0,ok,insufficient_target_high
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF,mif_cd74_cxcr4_gene_MIF_x0p5,gene,MIF,0.5,MIF,,0.0011631123408158781,0.0005815561704079391,-0.0005815561704079391,0.2208680142687277,0.2208680142687277,0.0,966,966,ok,ok
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CD74_x0,gene,CD74,0.0,CD74,,0.06341674626059078,0.01036036891700849,-0.05305637734358229,0.535077288941736,0.5558858501783591,0.020808561236623113,3364,3364,ok,ok
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CD74_x0p5,gene,CD74,0.5,CD74,,0.06341674626059078,0.036888557588799636,-0.026528188671791145,0.535077288941736,0.5386444708680143,0.003567181926278251,3364,3364,ok,ok
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CXCR4_x0,gene,CXCR4,0.0,CXCR4,,0.06341674626059078,0.06183129578029536,-0.0015854504802954236,0.535077288941736,0.5353745541022592,0.00029726516052319685,3364,3364,ok,ok
GSM9226201,P16_AIS,AIS,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CXCR4_x0p5,gene,CXCR4,0.5,CXCR4,,0.06341674626059078,0.06262402102044308,-0.0007927252401477014,0.535077288941736,0.5341854934601664,-0.0008917954815695905,3364,3364,ok,ok
