observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction,sample,sample_name,stage,top_n,quantile,radius_multiplier
0.8245614035087719,0.8392631578947369,0.026004839550909525,-0.014701754385964994,0.7164179104477612,0.32338308457711445,200,250.0,1140,285,285,87,0.30526315789473685,0.7719298245614035,GSM5702475,GSM5702475_TD3,MIA,10,0.75,1.25
0.2675438596491228,0.20076754385964912,0.023330634931424735,0.06677631578947368,0.004975124378109453,1.0,200,150.0,1140,228,228,61,0.2675438596491228,0.2675438596491228,GSM5702475,GSM5702475_TD3,MIA,10,0.8,0.75
0.4517543859649123,0.43412280701754385,0.03314674690752699,0.017631578947368443,0.34328358208955223,0.7164179104477612,200,200.0,1140,228,228,61,0.2675438596491228,0.44298245614035087,GSM5702475,GSM5702475_TD3,MIA,10,0.8,1.0
0.7456140350877193,0.7616228070175438,0.0329178707333351,-0.016008771929824528,0.7114427860696517,0.3383084577114428,200,250.0,1140,228,228,61,0.2675438596491228,0.7017543859649122,GSM5702475,GSM5702475_TD3,MIA,10,0.8,1.25
0.31871345029239767,0.3004970760233918,0.019285974992141464,0.018216374269005853,0.19402985074626866,0.8308457711442786,200,150.0,1140,342,342,109,0.31871345029239767,0.31871345029239767,GSM5702475,GSM5702475_TD3,MIA,20,0.7,0.75
0.5614035087719298,0.6021783625730994,0.026518588495090537,-0.04077485380116963,0.9552238805970149,0.07462686567164178,200,200.0,1140,342,342,109,0.31871345029239767,0.5555555555555556,GSM5702475,GSM5702475_TD3,MIA,20,0.7,1.0
0.8391812865497076,0.8999269005847954,0.020332921218094307,-0.060745614035087825,1.0,0.009950248756218905,200,250.0,1140,342,342,109,0.31871345029239767,0.7953216374269005,GSM5702475,GSM5702475_TD3,MIA,20,0.7,1.25
0.2631578947368421,0.25133333333333335,0.021750205068151833,0.011824561403508738,0.3034825870646766,0.746268656716418,200,150.0,1140,285,285,75,0.2631578947368421,0.2631578947368421,GSM5702475,GSM5702475_TD3,MIA,20,0.75,0.75
0.49473684210526314,0.524859649122807,0.029702760659425856,-0.030122807017543884,0.8407960199004975,0.17412935323383086,200,200.0,1140,285,285,75,0.2631578947368421,0.4807017543859649,GSM5702475,GSM5702475_TD3,MIA,20,0.75,1.0
0.7894736842105263,0.8382456140350877,0.02682368615952493,-0.048771929824561355,0.945273631840796,0.06467661691542288,200,250.0,1140,285,285,75,0.2631578947368421,0.7368421052631579,GSM5702475,GSM5702475_TD3,MIA,20,0.75,1.25
0.20614035087719298,0.19991228070175437,0.023887170316619778,0.00622807017543861,0.4228855721393035,0.6318407960199005,200,150.0,1140,228,228,47,0.20614035087719298,0.20614035087719298,GSM5702475,GSM5702475_TD3,MIA,20,0.8,0.75
