Cell_type.refined,n_cells,mean_score,median_score,sd_score,score
MAST cells,3396,0.06268109,0.06178481,0.04147746,refined_spp1_macrophage
Myeloid cells,42245,0.18670079,0.13755117,0.1896991,refined_spp1_macrophage
T/NK cells,64403,0.026811294,0.023901626,0.027916918,refined_spp1_macrophage
,28437,0.032609668,0.023901626,0.05075645,refined_spp1_macrophage
B lymphocytes,27657,0.039037257,0.023104906,0.047345452,refined_c1q_macrophage
Endothelial cells,2107,0.16143991,0.12613966,0.17645171,refined_c1q_macrophage
Epithelial cells,36467,0.28527507,0.22538576,0.23609139,refined_c1q_macrophage
Fibroblasts,3794,0.362505,0.35186043,0.19310316,refined_c1q_macrophage
MAST cells,3396,0.07791434,0.059725318,0.10629699,refined_c1q_macrophage
Myeloid cells,42245,0.7308355,0.517374,0.6599662,refined_c1q_macrophage
T/NK cells,64403,0.034402486,0.023104906,0.03720313,refined_c1q_macrophage
,28437,0.040147424,0.023104906,0.06865712,refined_c1q_macrophage
B lymphocytes,27657,0.12040102,0.099667996,0.0936054,refined_inflammatory_macrophage
Endothelial cells,2107,0.08612957,0.047803253,0.11076681,refined_inflammatory_macrophage
Epithelial cells,36467,0.19651735,0.13755117,0.19539365,refined_inflammatory_macrophage
Fibroblasts,3794,0.13922201,0.109588064,0.12975457,refined_inflammatory_macrophage
MAST cells,3396,0.12828973,0.109588064,0.09132054,refined_inflammatory_macrophage
Myeloid cells,42245,0.49596974,0.39824358,0.39188135,refined_inflammatory_macrophage
T/NK cells,64403,0.15365526,0.1334897,0.10216413,refined_inflammatory_macrophage
,28437,0.14332536,0.11950813,0.11111586,refined_inflammatory_macrophage
B lymphocytes,27657,0.23620027,0.2267465,0.097127005,candidate_mechanism_genes
Endothelial cells,2107,0.24566196,0.20579287,0.17236893,candidate_mechanism_genes
Epithelial cells,36467,0.35520455,0.30727693,0.25021604,candidate_mechanism_genes
Fibroblasts,3794,0.336921,0.3072173,0.21566781,candidate_mechanism_genes
MAST cells,3396,0.20373698,0.19012609,0.11223558,candidate_mechanism_genes
Myeloid cells,42245,0.9848673,0.9636346,0.4929583,candidate_mechanism_genes
T/NK cells,64403,0.18726535,0.17524984,0.099582344,candidate_mechanism_genes
,28437,0.18451695,0.16702119,0.11406509,candidate_mechanism_genes
