stages,run_id,random_seed,min_abs_correlation,display_rank,broad_class,target_gene,top_impacted_signature,n_present_genes,present_genes,top_signature_mean_impact,top_signature_max_impact,top_signature_sum_impact,top_impacted_genes
"LUAD,MIA",seed23_corr0.05,23,0.05,4,macrophage,CD74,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.0153940849063328,0.03835976392951971,0.307881698126656,"C1QA,C1QB,C1QC,APOE,ACP5"
"LUAD,MIA",seed23_corr0.05,23,0.05,5,epithelial,MIF,proliferating_epithelial_vs_other_epithelial,20,"PCNA,TOP2A,MKI67,STMN1,CKS1B,TK1,TYMS,UBE2T,DEK,NUCKS1,UBE2C,CARHSP1,HMGB2,HMGB3,SIVA1,MYBL2,ECI1,NUSAP1,TMEM106C,DUT",0.011965593536261681,0.0194587312849803,0.23931187072523363,"MDK,EPCAM,KRT8,NUCKS1,PERP"
"LUAD,MIA",seed23_corr0.05,23,0.05,6,macrophage,SPP1,spp1_macrophage_vs_other_macrophage,12,"CHIT1,OTOA,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.011350486944774965,0.02952525276120399,0.13620584333729957,"MIF,ANXA2,TREM2,G0S2,CAMK1"
"LUAD,MIA",seed23_corr0.05,23,0.05,7,macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,13,"SPP1,CHIT1,OTOA,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.011299209574409453,0.03522683746266171,0.1468897244673229,"GPR183,PRDM1,PLA2G7,ADAMDEC1,NFKBIA"
"LUAD,MIA",seed23_corr0.08,23,0.08,1,macrophage,CD44,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.021292336128157896,0.033233771626930614,0.4258467225631579,"MARCO,MCEMP1,LTA4H,PPARG,ANXA2"
"LUAD,MIA",seed23_corr0.08,23,0.08,2,macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,11,"SPP1,CHIT1,HAMP,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.019086162837154044,0.035373368827937283,0.20994779120869447,"APOE,ACP5,APOC1,CHIT1,CYP27A1"
"LUAD,MIA",seed23_corr0.08,23,0.08,3,macrophage,TREM2,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.01905648001269686,0.036883948728324574,0.3811296002539372,"APOE,APOC1,ACP5,CYP27A1,LGALS3"
"LUAD,MIA",seed23_corr0.08,23,0.08,4,macrophage,CD74,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.016294425418966065,0.043140526046634,0.3258885083793213,"C1QA,C1QB,C1QC,APOE,ACP5"
"LUAD,MIA",seed23_corr0.08,23,0.08,5,macrophage,SPP1,spp1_macrophage_vs_other_macrophage,11,"CHIT1,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.014707517544895733,0.0516724482631446,0.16178269299385306,"MIF,TREM2,ANXA2,G0S2,CAMK1"
"LUAD,MIA",seed23_corr0.08,23,0.08,6,epithelial,MIF,proliferating_epithelial_vs_other_epithelial,19,"PCNA,TOP2A,MKI67,STMN1,CKS1B,TK1,TYMS,UBE2T,DEK,NUCKS1,UBE2C,CARHSP1,HMGB2,HMGB3,SIVA1,MYBL2,ECI1,NUSAP1,TMEM106C",0.013729336295399996,0.022455871435624934,0.2608573896125999,"MDK,EPCAM,NUCKS1,KRT8,PERP"
"LUAD,MIA",seed23_corr0.08,23,0.08,7,macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,12,"SPP1,CHIT1,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.013555106695962086,0.04450202606343047,0.16266128035154503,"GPR183,PRDM1,PLA2G7,ADAMDEC1,NFKBIA"
