Sample_Origin,n_cells,mean_score,median_score,sd_score,score
tL/B,12073,0.39940828,0.21364152,0.45698482,refined_proliferating_epithelial
tLung,45149,0.26760325,0.16665962,0.30196604,refined_proliferating_epithelial
PE,20304,0.04028179,0.023901626,0.06933871,refined_spp1_macrophage
mBrain,29060,0.21433564,0.16450638,0.19268838,refined_spp1_macrophage
mLN,21479,0.14314756,0.047803253,0.20177603,refined_spp1_macrophage
nLN,37446,0.025534114,0.0,0.09658019,refined_spp1_macrophage
nLung,42995,0.08638225,0.047803253,0.09606786,refined_spp1_macrophage
tL/B,12073,0.18290438,0.12356962,0.1723331,refined_spp1_macrophage
tLung,45149,0.114621505,0.047803253,0.15885472,refined_spp1_macrophage
PE,20304,0.061118435,0.023104906,0.1146265,refined_c1q_macrophage
mBrain,29060,0.24048316,0.15214494,0.25153175,refined_c1q_macrophage
mLN,21479,0.2274581,0.06931472,0.31706637,refined_c1q_macrophage
nLN,37446,0.032237038,0.023104906,0.099995814,refined_c1q_macrophage
nLung,42995,0.4879849,0.11552453,0.6807632,refined_c1q_macrophage
tL/B,12073,0.19172306,0.10593513,0.24579832,refined_c1q_macrophage
tLung,45149,0.22318596,0.06931472,0.36762428,refined_c1q_macrophage
PE,20304,0.1355342,0.08568644,0.15534595,refined_inflammatory_macrophage
mBrain,29060,0.2327378,0.14340976,0.27382454,refined_inflammatory_macrophage
mLN,21479,0.34162086,0.18535443,0.3749825,refined_inflammatory_macrophage
nLN,37446,0.12571755,0.095606506,0.12127858,refined_inflammatory_macrophage
nLung,42995,0.23899388,0.17137288,0.22212435,refined_inflammatory_macrophage
tL/B,12073,0.24139065,0.175006,0.23223786,refined_inflammatory_macrophage
tLung,45149,0.26169208,0.1766884,0.2746318,refined_inflammatory_macrophage
PE,20304,0.23937275,0.17917594,0.21620017,candidate_mechanism_genes
mBrain,29060,0.4279002,0.30780187,0.3960513,candidate_mechanism_genes
mLN,21479,0.51068383,0.28734908,0.5093877,candidate_mechanism_genes
nLN,37446,0.1754914,0.15214494,0.16527931,candidate_mechanism_genes
nLung,42995,0.5436959,0.32079247,0.4760148,candidate_mechanism_genes
tL/B,12073,0.31720155,0.23403613,0.29231137,candidate_mechanism_genes
tLung,45149,0.41741073,0.2655182,0.40043032,candidate_mechanism_genes
