top_n,quantile,radius_multiplier,stage,n_samples,observed_fraction_mean,null_mean_mean,enrichment_delta_mean,empirical_p_greater_median,empirical_p_less_median
30,0.7,0.75,IAC,2,0.2946684679982191,0.2999812211185655,-0.005312753120346347,0.5024875621890548,0.5024875621890548
30,0.7,0.75,MIA,2,0.3961913522083128,0.3010436203466894,0.09514773186162334,0.004975124378109453,1.0
30,0.7,1.0,AIS,2,0.538235294117647,0.6426216577540107,-0.10438636363636367,0.582089552238806,0.42786069651741293
30,0.7,1.0,IAC,2,0.5993542840474692,0.6475272686798593,-0.04817298463239017,0.6094527363184079,0.4104477611940298
30,0.7,1.0,MIA,2,0.7060730470677974,0.6260209987885315,0.08005204827926593,0.004975124378109453,1.0
30,0.7,1.25,AIS,2,0.7618426916221034,0.9036264483065954,-0.141783756684492,0.9776119402985075,0.03233830845771144
30,0.7,1.25,IAC,2,0.8461568693676405,0.9157281145892504,-0.0695712452216099,0.9850746268656716,0.01990049751243781
30,0.7,1.25,MIA,2,0.9210077623726836,0.9031901631743467,0.017817599198336864,0.18407960199004975,0.8283582089552239
30,0.75,0.75,AIS,2,0.20659090909090908,0.2501784090909091,-0.043587500000000015,0.5049751243781094,0.5
30,0.75,0.75,IAC,2,0.23109856204710144,0.2504113238790761,-0.019312761831974654,0.5024875621890548,0.5024875621890548
30,0.75,0.75,MIA,2,0.3450328274674416,0.24887845764718544,0.09615436982025619,0.004975124378109453,1.0
30,0.75,1.0,AIS,2,0.42177807486631014,0.5657525401069519,-0.1439744652406417,0.7661691542288558,0.24875621890547261
30,0.75,1.0,IAC,2,0.5059725996376812,0.5707605511209239,-0.06478795148324279,0.6094527363184079,0.40298507462686567
30,0.75,1.0,MIA,2,0.6075503175115704,0.5511826767839845,0.05636764072758582,0.017412935323383085,0.9900497512437811
30,0.75,1.25,AIS,2,0.6419919786096256,0.8508042112299465,-0.20881223262032095,0.9651741293532339,0.04228855721393035
30,0.75,1.25,IAC,2,0.7597160892210144,0.862894092504529,-0.10317800328351451,0.9825870646766169,0.029850746268656716
30,0.75,1.25,MIA,2,0.8683349477989453,0.8469807340436982,0.021354213755247042,0.1691542288557214,0.8557213930348259
30,0.8,0.75,AIS,2,0.14613970588235295,0.20091017713903742,-0.05477047125668448,0.6069651741293532,0.42288557213930345
30,0.8,0.75,IAC,2,0.1670095979269252,0.1997705333549048,-0.03276093542797959,0.5024875621890548,0.5024875621890548
30,0.8,0.75,MIA,2,0.2905225019069413,0.19970282563826447,0.09081967626867679,0.004975124378109453,1.0
30,0.8,1.0,AIS,2,0.3285929144385027,0.47918933823529414,-0.15059642379679145,0.8756218905472637,0.1417910447761194
30,0.8,1.0,IAC,2,0.4069515485144024,0.4822358081078353,-0.07528425959343285,0.6218905472636815,0.39303482587064675
30,0.8,1.0,MIA,2,0.5165343025081887,0.4609760174092521,0.055558285098936594,0.02487562189054726,0.9850746268656716
30,0.8,1.25,AIS,2,0.5181483957219251,0.769374080882353,-0.25122568516042787,0.9800995024875622,0.02736318407960199
30,0.8,1.25,IAC,2,0.6452217092081192,0.7866148225123311,-0.14139311330421184,0.9751243781094527,0.03233830845771144
30,0.8,1.25,MIA,2,0.8171972450307354,0.7674826412258267,0.049714603804908775,0.07711442786069651,0.9353233830845771
