observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,status,sample,sample_name,stage,source,target,quantile,radius_multiplier,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction
0.486404833836858,0.4077744209466263,0.010225625193894552,0.0786304128902317,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226214,P22_AAH,AAH,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,7943,1986,1986,681,0.3429003021148036,0.4425981873111782
0.5201409869083585,0.4090584088620341,0.010343451781477823,0.11108257804632443,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226214,P22_AAH,AAH,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,7943,1986,1986,814,0.40986908358509566,0.5080563947633434
0.5251762336354482,0.4073162134944612,0.011377324731028003,0.11786002014098701,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226214,P22_AAH,AAH,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,7943,1986,1986,798,0.40181268882175225,0.49295065458207454
0.4808660624370594,0.4110422960725074,0.009447788386383306,0.06982376636455201,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226214,P22_AAH,AAH,epithelial_progenitor_like,resident_macrophage,0.75,1.0,7943,1986,1986,683,0.34390735146022156,0.44964753272910374
0.5288640595903166,0.41225636250775904,0.00964214266802114,0.11660769708255753,0.009900990099009901,1.0,100,395.32391781929914,ok,GSM9226215,P22_AIS,AIS,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,12886,3222,3222,1227,0.3808193668528864,0.4829298572315332
0.590316573556797,0.4120018621973928,0.0084337021335344,0.1783147113594042,0.009900990099009901,1.0,100,395.32391781929914,ok,GSM9226215,P22_AIS,AIS,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,12886,3222,3222,1542,0.478584729981378,0.5856610800744879
0.6036623215394165,0.4135195530726257,0.00872506403682123,0.19014276846679073,0.009900990099009901,1.0,100,395.32391781929914,ok,GSM9226215,P22_AIS,AIS,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,12886,3222,3222,1560,0.48417132216014896,0.5825574177529484
0.542209807572936,0.41136561142147743,0.01010172797583666,0.1308441961514586,0.009900990099009901,1.0,100,395.32391781929914,ok,GSM9226215,P22_AIS,AIS,epithelial_progenitor_like,resident_macrophage,0.75,1.0,12886,3222,3222,1261,0.3913718187461204,0.4919304779639975
0.6104023552502453,0.4557311089303239,0.008503806371122934,0.1546712463199214,0.009900990099009901,1.0,100,396.0467144163678,ok,GSM9226216,P22_LUAD,LUAD,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,12229,3057,3057,1355,0.44324501144913314,0.5744193653909061
0.6081125286228328,0.45377821393523055,0.010552314751531197,0.15433431468760228,0.009900990099009901,1.0,100,396.0467144163678,ok,GSM9226216,P22_LUAD,LUAD,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,12229,3057,3057,1517,0.4962381419692509,0.6359175662414132
0.6787700359829899,0.45724239450441617,0.00906897380126975,0.22152764147857373,0.009900990099009901,1.0,100,396.0467144163678,ok,GSM9226216,P22_LUAD,LUAD,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,12229,3057,3057,1650,0.5397448478900884,0.6650310762185149
0.5842329080798168,0.4540628066732091,0.008775190837011719,0.13017010140660767,0.009900990099009901,1.0,100,396.0467144163678,ok,GSM9226216,P22_LUAD,LUAD,epithelial_progenitor_like,resident_macrophage,0.75,1.0,12229,3057,3057,1255,0.4105332024860975,0.5613346418056918
0.42737094837935174,0.38585034013605446,0.009906782635896661,0.041520608243297286,0.009900990099009901,1.0,100,382.5310444918164,ok,GSM9226217,P23_AIS1,AIS,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,9996,2499,2499,791,0.3165266106442577,0.382953181272509
0.5346138455382153,0.386842737094838,0.009492219178851333,0.14777110844337732,0.009900990099009901,1.0,100,382.5310444918164,ok,GSM9226217,P23_AIS1,AIS,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,9996,2499,2499,1171,0.4685874349739896,0.517406962785114
0.5106042416966786,0.3879071628651461,0.010021654507151374,0.12269707883153252,0.009900990099009901,1.0,100,382.5310444918164,ok,GSM9226217,P23_AIS1,AIS,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,9996,2499,2499,990,0.39615846338535415,0.45898359343737494
0.4221688675470188,0.3575710284113645,0.009982597220543158,0.06459783913565431,0.009900990099009901,1.0,100,382.5310444918164,ok,GSM9226217,P23_AIS1,AIS,epithelial_progenitor_like,resident_macrophage,0.75,1.0,9996,2499,2280,720,0.28811524609843936,0.38596491228070173
0.4514222386405615,0.3951459179903952,0.009985152461729515,0.0562763206501663,0.009900990099009901,1.0,100,382.47222121351507,ok,GSM9226218,P23_AIS2,AIS,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,10826,2707,2707,893,0.3298854820834873,0.4115256741780569
0.4990764684152198,0.3967824159586258,0.009063351427603056,0.10229405245659401,0.009900990099009901,1.0,100,382.47222121351507,ok,GSM9226218,P23_AIS2,AIS,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,10826,2707,2707,1121,0.41411156261544146,0.48799408939785743
0.5086811968969339,0.39661618027336537,0.008920079901127661,0.11206501662356855,0.009900990099009901,1.0,100,382.47222121351507,ok,GSM9226218,P23_AIS2,AIS,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,10826,2707,2707,1037,0.38308090136682676,0.467676394532693
0.449205762837089,0.39616919098633185,0.009418394823366077,0.053036571850757164,0.009900990099009901,1.0,100,382.47222121351507,ok,GSM9226218,P23_AIS2,AIS,epithelial_progenitor_like,resident_macrophage,0.75,1.0,10826,2707,2707,825,0.30476542297746584,0.40118212042851864
0.44713656387665196,0.37802863436123346,0.009444766843621192,0.0691079295154185,0.009900990099009901,1.0,100,382.0052355662158,ok,GSM9226219,P23_LUAD,LUAD,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,10894,2724,2724,937,0.34397944199706315,0.37261380323054333
0.2709251101321586,0.37842878120411166,0.010050085583618171,-0.10750367107195308,1.0,0.009900990099009901,100,382.0052355662158,ok,GSM9226219,P23_LUAD,LUAD,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,10894,2724,2724,569,0.2088839941262849,0.22834067547723935
0.3234214390602056,0.37912261380323053,0.009885263483827128,-0.05570117474302494,1.0,0.009900990099009901,100,382.0052355662158,ok,GSM9226219,P23_LUAD,LUAD,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,10894,2724,2724,665,0.24412628487518356,0.26762114537444937
0.36270190895741555,0.3770337738619677,0.00884817962667572,-0.014331864904552127,0.9405940594059405,0.07920792079207921,100,382.0052355662158,ok,GSM9226219,P23_LUAD,LUAD,epithelial_progenitor_like,resident_macrophage,0.75,1.0,10894,2724,2724,672,0.24669603524229075,0.28597650513950074
0.3839762611275964,0.4151869436201781,0.011890726641755304,-0.031210682492581687,1.0,0.009900990099009901,100,394.31586323656825,ok,GSM9226220,P24_AAH,AAH,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,6738,1685,1685,496,0.29436201780415433,0.3845697329376855
0.39347181008902077,0.41604747774480705,0.012805718255478203,-0.02257566765578628,0.9801980198019802,0.0297029702970297,100,394.31586323656825,ok,GSM9226220,P24_AAH,AAH,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,6738,1685,1685,524,0.3109792284866469,0.40059347181008903
0.5845697329376854,0.4164985163204748,0.01300669305254082,0.16807121661721064,0.009900990099009901,1.0,100,394.31586323656825,ok,GSM9226220,P24_AAH,AAH,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,6738,1685,1685,795,0.47181008902077154,0.5537091988130564
0.4830860534124629,0.4152284866468843,0.01147292630455758,0.06785756676557864,0.009900990099009901,1.0,100,394.31586323656825,ok,GSM9226220,P24_AAH,AAH,epithelial_progenitor_like,resident_macrophage,0.75,1.0,6738,1685,1685,583,0.34599406528189913,0.42967359050445103
0.5283620140216698,0.4225111536010197,0.011974755258037241,0.10585086042065012,0.009900990099009901,1.0,100,395.47945585074325,ok,GSM9226221,P24_LUAD,LUAD,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,6276,1569,1569,646,0.4117272147864882,0.5124282982791587
0.4697259400892288,0.42571064372211603,0.012745948932379219,0.044015296367112766,0.009900990099009901,1.0,100,395.47945585074325,ok,GSM9226221,P24_LUAD,LUAD,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,6276,1569,1569,566,0.36073932441045253,0.455704270235819
0.7080943275971957,0.4236966220522626,0.01452632411173406,0.2843977055449331,0.009900990099009901,1.0,100,395.47945585074325,ok,GSM9226221,P24_LUAD,LUAD,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,6276,1569,1569,923,0.5882727852135118,0.6577437858508605
0.6347992351816444,0.4222689611217335,0.015334255308598792,0.21253027405991087,0.009900990099009901,1.0,100,395.47945585074325,ok,GSM9226221,P24_LUAD,LUAD,epithelial_progenitor_like,resident_macrophage,0.75,1.0,6276,1569,1569,856,0.5455704270235819,0.6507329509241555
0.3050774526678141,0.37929862306368334,0.010418883145802981,-0.07422117039586923,1.0,0.009900990099009901,100,382.37416230702615,ok,GSM9226222,P25_AAH,AAH,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,9294,2324,2324,534,0.229776247848537,0.3050774526678141
