sample,sample_name,stage,macrophage_state,n_cells,denominator,fraction
GSM9237971,P24_AAH,AAH,resident_macrophage,41,1594,0.025721455457967377
GSM9237971,P24_AAH,AAH,spp1_macrophage,165,1594,0.10351317440401506
GSM9237972,P24_LUAD,LUAD,ambiguous_macrophage,81,7486,0.010820197702377772
GSM9237972,P24_LUAD,LUAD,c1q_macrophage,7146,7486,0.9545818861875501
GSM9237972,P24_LUAD,LUAD,inflammatory_macrophage,27,7486,0.003606732567459257
GSM9237972,P24_LUAD,LUAD,resident_macrophage,24,7486,0.0032059845044082286
GSM9237972,P24_LUAD,LUAD,spp1_macrophage,208,7486,0.027785199038204648
GSM9237973,P25_Normal,Normal,ambiguous_macrophage,67,1454,0.04607977991746905
GSM9237973,P25_Normal,Normal,c1q_macrophage,1068,1454,0.734525447042641
GSM9237973,P25_Normal,Normal,inflammatory_macrophage,43,1454,0.029573590096286108
GSM9237973,P25_Normal,Normal,other_macrophage,11,1454,0.007565337001375516
GSM9237973,P25_Normal,Normal,resident_macrophage,168,1454,0.1155433287482806
GSM9237973,P25_Normal,Normal,spp1_macrophage,97,1454,0.06671251719394773
GSM9237974,P25_AAH,AAH,ambiguous_macrophage,21,562,0.037366548042704624
GSM9237974,P25_AAH,AAH,c1q_macrophage,436,562,0.7758007117437722
GSM9237974,P25_AAH,AAH,inflammatory_macrophage,10,562,0.017793594306049824
GSM9237974,P25_AAH,AAH,other_macrophage,3,562,0.005338078291814947
GSM9237974,P25_AAH,AAH,resident_macrophage,54,562,0.09608540925266904
GSM9237974,P25_AAH,AAH,spp1_macrophage,38,562,0.06761565836298933
GSM9237975,P25_LUAD,LUAD,ambiguous_macrophage,181,3512,0.0515375854214123
GSM9237975,P25_LUAD,LUAD,c1q_macrophage,2581,3512,0.7349088838268792
GSM9237975,P25_LUAD,LUAD,inflammatory_macrophage,42,3512,0.011958997722095672
GSM9237975,P25_LUAD,LUAD,other_macrophage,23,3512,0.006548974943052392
GSM9237975,P25_LUAD,LUAD,resident_macrophage,36,3512,0.010250569476082005
GSM9237975,P25_LUAD,LUAD,spp1_macrophage,649,3512,0.18479498861047836
