sample,sample_name,stage,context,score,n_cells,mean_score
GSM9237904,P4_Normal,Normal,all_cells,inflammatory_macrophage,36862,0.21636853794059063
GSM9237904,P4_Normal,Normal,all_cells,refined_epithelial_progenitor_like,36862,0.3504924942359512
GSM9237904,P4_Normal,Normal,all_cells,refined_spp1_macrophage,36862,0.14169882302639109
GSM9237904,P4_Normal,Normal,all_cells,refined_c1q_macrophage,36862,0.3619454795665135
GSM9237904,P4_Normal,Normal,all_cells,refined_inflammatory_macrophage,36862,0.18852101211019587
GSM9237904,P4_Normal,Normal,epithelial,epithelial,12981,1.9183314032969105
GSM9237904,P4_Normal,Normal,epithelial,macrophage,12981,0.4130498764748882
GSM9237904,P4_Normal,Normal,epithelial,epithelial_progenitor_like,12981,1.0380533846450786
GSM9237904,P4_Normal,Normal,epithelial,spp1_macrophage,12981,0.6749769208862424
GSM9237904,P4_Normal,Normal,epithelial,c1q_macrophage,12981,0.5048059201996905
GSM9237904,P4_Normal,Normal,epithelial,inflammatory_macrophage,12981,0.20924844259510963
GSM9237904,P4_Normal,Normal,epithelial,refined_epithelial_progenitor_like,12981,0.5938270781689056
GSM9237904,P4_Normal,Normal,epithelial,refined_spp1_macrophage,12981,0.1616059454246306
GSM9237904,P4_Normal,Normal,epithelial,refined_c1q_macrophage,12981,0.34419555667585616
GSM9237904,P4_Normal,Normal,epithelial,refined_inflammatory_macrophage,12981,0.16173741305877062
GSM9237904,P4_Normal,Normal,macrophage,epithelial,5957,0.7355144305543501
GSM9237904,P4_Normal,Normal,macrophage,macrophage,5957,2.2040461022024647
GSM9237904,P4_Normal,Normal,macrophage,epithelial_progenitor_like,5957,0.17363579418265412
GSM9237904,P4_Normal,Normal,macrophage,spp1_macrophage,5957,1.5117531268625823
GSM9237904,P4_Normal,Normal,macrophage,c1q_macrophage,5957,2.701435817935299
GSM9237904,P4_Normal,Normal,macrophage,inflammatory_macrophage,5957,0.3651596086572524
GSM9237904,P4_Normal,Normal,macrophage,refined_epithelial_progenitor_like,5957,0.23856785353182489
GSM9237904,P4_Normal,Normal,macrophage,refined_spp1_macrophage,5957,0.22758276123043064
GSM9237904,P4_Normal,Normal,macrophage,refined_c1q_macrophage,5957,0.7963660284115827
GSM9237904,P4_Normal,Normal,macrophage,refined_inflammatory_macrophage,5957,0.2688864359236067
GSM9237905,P4_Normal1,Normal,all_cells,epithelial,14328,1.3605693173638365
GSM9237905,P4_Normal1,Normal,all_cells,macrophage,14328,0.505932451301702
GSM9237905,P4_Normal1,Normal,all_cells,epithelial_progenitor_like,14328,0.5307304857466502
GSM9237905,P4_Normal1,Normal,all_cells,spp1_macrophage,14328,0.571984999599852
GSM9237905,P4_Normal1,Normal,all_cells,c1q_macrophage,14328,0.619039972880977
GSM9237905,P4_Normal1,Normal,all_cells,inflammatory_macrophage,14328,0.1889904867684715
GSM9237905,P4_Normal1,Normal,all_cells,refined_epithelial_progenitor_like,14328,0.3521595576709439
GSM9237905,P4_Normal1,Normal,all_cells,refined_spp1_macrophage,14328,0.13283255523735582
GSM9237905,P4_Normal1,Normal,all_cells,refined_c1q_macrophage,14328,0.3553951337526545
GSM9237905,P4_Normal1,Normal,all_cells,refined_inflammatory_macrophage,14328,0.14591155296307873
GSM9237905,P4_Normal1,Normal,epithelial,epithelial,5544,2.0645235945126563
GSM9237905,P4_Normal1,Normal,epithelial,macrophage,5544,0.2589868582296161
GSM9237905,P4_Normal1,Normal,epithelial,epithelial_progenitor_like,5544,1.0199201137847607
GSM9237905,P4_Normal1,Normal,epithelial,spp1_macrophage,5544,0.5522195413952674
GSM9237905,P4_Normal1,Normal,epithelial,c1q_macrophage,5544,0.31538396266484603
GSM9237905,P4_Normal1,Normal,epithelial,inflammatory_macrophage,5544,0.20594707522588074
GSM9237905,P4_Normal1,Normal,epithelial,refined_epithelial_progenitor_like,5544,0.5307742065672822
GSM9237905,P4_Normal1,Normal,epithelial,refined_spp1_macrophage,5544,0.15689182618529135
GSM9237905,P4_Normal1,Normal,epithelial,refined_c1q_macrophage,5544,0.3213131773423241
GSM9237905,P4_Normal1,Normal,epithelial,refined_inflammatory_macrophage,5544,0.14110268501847403
GSM9237905,P4_Normal1,Normal,macrophage,epithelial,1609,0.8435756725811072
GSM9237905,P4_Normal1,Normal,macrophage,macrophage,1609,2.2662126159961025
