sample,sample_name,stage,context,score,n_cells,mean_score
GSM5019483,GSM5019483_CZX-A,Adjacent,macrophage,macrophage,819,1.6233302874570121
GSM5019483,GSM5019483_CZX-A,Adjacent,macrophage,epithelial_progenitor_like,819,0.04058287385685759
GSM5019483,GSM5019483_CZX-A,Adjacent,macrophage,spp1_macrophage,819,1.3995070809317216
GSM5019483,GSM5019483_CZX-A,Adjacent,macrophage,c1q_macrophage,819,2.030016034983325
GSM5019483,GSM5019483_CZX-A,Adjacent,macrophage,inflammatory_macrophage,819,2.0675496063017134
GSM5019483,GSM5019483_CZX-A,Adjacent,macrophage,refined_epithelial_progenitor_like,819,0.17776355442407318
GSM5019483,GSM5019483_CZX-A,Adjacent,macrophage,refined_spp1_macrophage,819,0.11460554650358935
GSM5019483,GSM5019483_CZX-A,Adjacent,macrophage,refined_c1q_macrophage,819,0.9435241660274202
GSM5019483,GSM5019483_CZX-A,Adjacent,macrophage,refined_inflammatory_macrophage,819,0.6578688737181437
GSM5019484,GSM5019484_CZX-T,Tumor,all_cells,epithelial,5744,0.7788133802556335
GSM5019484,GSM5019484_CZX-T,Tumor,all_cells,macrophage,5744,0.3644484684827428
GSM5019484,GSM5019484_CZX-T,Tumor,all_cells,epithelial_progenitor_like,5744,0.5731508146748335
GSM5019484,GSM5019484_CZX-T,Tumor,all_cells,spp1_macrophage,5744,0.5154990313810139
GSM5019484,GSM5019484_CZX-T,Tumor,all_cells,c1q_macrophage,5744,0.42432141091503855
GSM5019484,GSM5019484_CZX-T,Tumor,all_cells,inflammatory_macrophage,5744,0.9369445480310344
GSM5019484,GSM5019484_CZX-T,Tumor,all_cells,refined_epithelial_progenitor_like,5744,0.3698670710130318
GSM5019484,GSM5019484_CZX-T,Tumor,all_cells,refined_spp1_macrophage,5744,0.09833124259023866
GSM5019484,GSM5019484_CZX-T,Tumor,all_cells,refined_c1q_macrophage,5744,0.17784743414279167
GSM5019484,GSM5019484_CZX-T,Tumor,all_cells,refined_inflammatory_macrophage,5744,0.46972280892316887
GSM5019484,GSM5019484_CZX-T,Tumor,epithelial,epithelial,2307,1.5037449535909746
GSM5019484,GSM5019484_CZX-T,Tumor,epithelial,macrophage,2307,0.07564149334527129
GSM5019484,GSM5019484_CZX-T,Tumor,epithelial,epithelial_progenitor_like,2307,1.2744587418598545
GSM5019484,GSM5019484_CZX-T,Tumor,epithelial,spp1_macrophage,2307,0.4879470611606562
GSM5019484,GSM5019484_CZX-T,Tumor,epithelial,c1q_macrophage,2307,0.08302665742521885
GSM5019484,GSM5019484_CZX-T,Tumor,epithelial,inflammatory_macrophage,2307,0.6386632885714019
GSM5019484,GSM5019484_CZX-T,Tumor,epithelial,refined_epithelial_progenitor_like,2307,0.7227616604218211
GSM5019484,GSM5019484_CZX-T,Tumor,epithelial,refined_spp1_macrophage,2307,0.12837266029888092
GSM5019484,GSM5019484_CZX-T,Tumor,epithelial,refined_c1q_macrophage,2307,0.1251050972070614
GSM5019484,GSM5019484_CZX-T,Tumor,epithelial,refined_inflammatory_macrophage,2307,0.27397145327005445
GSM5019484,GSM5019484_CZX-T,Tumor,macrophage,epithelial,917,0.2670125408605563
GSM5019484,GSM5019484_CZX-T,Tumor,macrophage,macrophage,917,1.6982313658132981
GSM5019484,GSM5019484_CZX-T,Tumor,macrophage,epithelial_progenitor_like,917,0.10208640044836165
GSM5019484,GSM5019484_CZX-T,Tumor,macrophage,spp1_macrophage,917,1.3061190057522767
GSM5019484,GSM5019484_CZX-T,Tumor,macrophage,c1q_macrophage,917,2.0375877025863294
GSM5019484,GSM5019484_CZX-T,Tumor,macrophage,inflammatory_macrophage,917,2.4321695166394868
GSM5019484,GSM5019484_CZX-T,Tumor,macrophage,refined_epithelial_progenitor_like,917,0.16546699611166774
GSM5019484,GSM5019484_CZX-T,Tumor,macrophage,refined_spp1_macrophage,917,0.15979981379014357
GSM5019484,GSM5019484_CZX-T,Tumor,macrophage,refined_c1q_macrophage,917,0.6032023026524032
GSM5019484,GSM5019484_CZX-T,Tumor,macrophage,refined_inflammatory_macrophage,917,1.0222653512222104
GSM5019485,GSM5019485_HJY-A,Adjacent,all_cells,epithelial,5492,0.3790942364275076
GSM5019485,GSM5019485_HJY-A,Adjacent,all_cells,macrophage,5492,0.3504355323706261
GSM5019485,GSM5019485_HJY-A,Adjacent,all_cells,epithelial_progenitor_like,5492,0.3432449655134732
GSM5019485,GSM5019485_HJY-A,Adjacent,all_cells,spp1_macrophage,5492,0.3913000369482255
GSM5019485,GSM5019485_HJY-A,Adjacent,all_cells,c1q_macrophage,5492,0.36868118595750493
GSM5019485,GSM5019485_HJY-A,Adjacent,all_cells,inflammatory_macrophage,5492,0.6970486701607799
GSM5019485,GSM5019485_HJY-A,Adjacent,all_cells,refined_epithelial_progenitor_like,5492,0.2829766074733054
GSM5019485,GSM5019485_HJY-A,Adjacent,all_cells,refined_spp1_macrophage,5492,0.08832913613768811
GSM5019485,GSM5019485_HJY-A,Adjacent,all_cells,refined_c1q_macrophage,5492,0.2103295986089637
GSM5019485,GSM5019485_HJY-A,Adjacent,all_cells,refined_inflammatory_macrophage,5492,0.3882165836414498
GSM5019485,GSM5019485_HJY-A,Adjacent,epithelial,epithelial,1185,1.1711028018175866
GSM5019485,GSM5019485_HJY-A,Adjacent,epithelial,macrophage,1185,0.1453509795809438
GSM5019485,GSM5019485_HJY-A,Adjacent,epithelial,epithelial_progenitor_like,1185,1.2376541102118694
GSM5019485,GSM5019485_HJY-A,Adjacent,epithelial,spp1_macrophage,1185,0.6128732478800096
GSM5019485,GSM5019485_HJY-A,Adjacent,epithelial,c1q_macrophage,1185,0.14107482546959707
GSM5019485,GSM5019485_HJY-A,Adjacent,epithelial,inflammatory_macrophage,1185,0.4194068502558142
GSM5019485,GSM5019485_HJY-A,Adjacent,epithelial,refined_epithelial_progenitor_like,1185,0.7476951379559945
GSM5019485,GSM5019485_HJY-A,Adjacent,epithelial,refined_spp1_macrophage,1185,0.1691368260339719
GSM5019485,GSM5019485_HJY-A,Adjacent,epithelial,refined_c1q_macrophage,1185,0.2184429970487126
GSM5019485,GSM5019485_HJY-A,Adjacent,epithelial,refined_inflammatory_macrophage,1185,0.18067044608969415
GSM5019485,GSM5019485_HJY-A,Adjacent,macrophage,epithelial,753,0.11760835924219334
GSM5019485,GSM5019485_HJY-A,Adjacent,macrophage,macrophage,753,1.4496634512082618
GSM5019485,GSM5019485_HJY-A,Adjacent,macrophage,epithelial_progenitor_like,753,0.07409908369505852
GSM5019485,GSM5019485_HJY-A,Adjacent,macrophage,spp1_macrophage,753,0.8837769253973501
GSM5019485,GSM5019485_HJY-A,Adjacent,macrophage,c1q_macrophage,753,1.6859877549687778
GSM5019485,GSM5019485_HJY-A,Adjacent,macrophage,inflammatory_macrophage,753,1.2908119633028674
GSM5019485,GSM5019485_HJY-A,Adjacent,macrophage,refined_epithelial_progenitor_like,753,0.18581611882554136
GSM5019485,GSM5019485_HJY-A,Adjacent,macrophage,refined_spp1_macrophage,753,0.09343780728686785
GSM5019485,GSM5019485_HJY-A,Adjacent,macrophage,refined_c1q_macrophage,753,0.7100773183658361
GSM5019485,GSM5019485_HJY-A,Adjacent,macrophage,refined_inflammatory_macrophage,753,0.5043127724286708
GSM5019486,GSM5019486_HJY-T,Tumor,all_cells,epithelial,4001,0.5943051669745123
GSM5019486,GSM5019486_HJY-T,Tumor,all_cells,macrophage,4001,0.16633316274502694
GSM5019486,GSM5019486_HJY-T,Tumor,all_cells,epithelial_progenitor_like,4001,0.6909940449045993
GSM5019486,GSM5019486_HJY-T,Tumor,all_cells,spp1_macrophage,4001,0.4293996604424412
GSM5019486,GSM5019486_HJY-T,Tumor,all_cells,c1q_macrophage,4001,0.1740820738599264
GSM5019486,GSM5019486_HJY-T,Tumor,all_cells,inflammatory_macrophage,4001,0.49245532352865656
GSM5019486,GSM5019486_HJY-T,Tumor,all_cells,refined_epithelial_progenitor_like,4001,0.4115686067860227
GSM5019486,GSM5019486_HJY-T,Tumor,all_cells,refined_spp1_macrophage,4001,0.12300974829888363
GSM5019486,GSM5019486_HJY-T,Tumor,all_cells,refined_c1q_macrophage,4001,0.1650364754670697
