axis_id,evidence_type,stage,n_samples,n_tests,n_invalid_tests,n_valid_samples,n_valid_tests,observed_fraction_mean,null_mean_mean,enrichment_delta_mean,empirical_p_greater_median,empirical_p_less_median
mif_cd74_cxcr4,target_near_epithelial_progenitor,LUAD,26,26,0,26,26,0.5724748473655739,0.42034813036644153,0.1521267169991323,0.009900990099009901,1.0
mif_cd74_cxcr4,target_near_epithelial_progenitor,MIA,4,4,0,4,4,0.601061056326715,0.4177796702252506,0.1832813861014644,0.009900990099009901,1.0
mif_cd74_cxcr4,target_near_epithelial_progenitor,Normal,1,1,0,1,1,0.4680372630902666,0.3766174108576935,0.0914198522325731,0.009900990099009901,1.0
spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AAH,11,11,0,11,11,0.41388936742944665,0.4053143403619316,0.008575027067515062,0.44554455445544555,0.6336633663366337
spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,AIS,14,14,0,14,14,0.4538114319237913,0.41375481675488146,0.04005661516890984,0.009900990099009901,1.0
spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,LUAD,26,26,0,26,26,0.5192561606630808,0.42036512728076697,0.0988910333823138,0.009900990099009901,1.0
spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,MIA,4,4,0,4,4,0.5438125106245154,0.41739198083762086,0.1264205297868945,0.009900990099009901,1.0
spp1_trem2_macrophage_epithelial,source_near_epithelial_progenitor,Normal,1,1,0,1,1,0.30902666238355286,0.37540636042402825,-0.06637969804047539,1.0,0.009900990099009901
spp1_trem2_macrophage_epithelial,target_near_epithelial_progenitor,AAH,11,11,0,11,11,0.5221674470681267,0.40563248907119664,0.11653495799693002,0.009900990099009901,1.0
spp1_trem2_macrophage_epithelial,target_near_epithelial_progenitor,AIS,14,14,0,14,14,0.5605621903920659,0.4141593525559872,0.14640283783607871,0.009900990099009901,1.0
spp1_trem2_macrophage_epithelial,target_near_epithelial_progenitor,LUAD,26,26,0,26,26,0.6258074661600398,0.42054519007416413,0.20526227608587566,0.009900990099009901,1.0
spp1_trem2_macrophage_epithelial,target_near_epithelial_progenitor,MIA,4,4,0,4,4,0.6033870118575664,0.4181136290468134,0.18527338281075298,0.009900990099009901,1.0
spp1_trem2_macrophage_epithelial,target_near_epithelial_progenitor,Normal,1,1,0,1,1,0.5001606167683906,0.37609701252810795,0.12406360424028268,0.009900990099009901,1.0
