sample,sample_name,stage,axis_id,axis_label,evidence_type,gene_panel,panel_genes,perturbation_id,perturbation_type,perturbed_genes,perturbation_factor,present_perturbed_genes,missing_perturbed_genes,radius,baseline_coupling_score,perturbed_coupling_score,coupling_delta,coupling_relative_delta,baseline_source_weighted_neighbor_target_mean,perturbed_source_weighted_neighbor_target_mean,source_weighted_neighbor_target_delta,source_weighted_neighbor_target_relative_delta,baseline_source_mean,perturbed_source_mean,baseline_target_mean,perturbed_target_mean,n_spots,n_spots_with_neighbors
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF,mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,axis,"MIF,CD74,CXCR4,CD44",0.0,"MIF,CD74,CXCR4,CD44",,395.32391781929914,0.026751129110088992,0.0,-0.026751129110088992,-1.0,0.08456710630395838,0.0,-0.08456710630395838,-1.0,0.3159369320574032,0.3159369320574032,0.06946050540286296,0.0,13441,3314
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,axis,"MIF,CD74,CXCR4,CD44",0.0,"MIF,CD74,CXCR4,CD44",,395.32391781929914,0.08897690695334247,0.0,-0.08897690695334247,-1.0,0.28127857773610415,0.0,-0.28127857773610415,-1.0,0.3159369320574032,0.3159369320574032,0.25081682093575386,0.0,13441,3314
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF,mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,axis,"MIF,CD74,CXCR4,CD44",0.5,"MIF,CD74,CXCR4,CD44",,395.32391781929914,0.026751129110088992,0.013375564555044496,-0.013375564555044496,-0.5,0.08456710630395838,0.04228355315197919,-0.04228355315197919,-0.5,0.3159369320574032,0.3159369320574032,0.06946050540286296,0.03473025270143148,13441,3314
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,axis,"MIF,CD74,CXCR4,CD44",0.5,"MIF,CD74,CXCR4,CD44",,395.32391781929914,0.08897690695334247,0.044488453476671234,-0.044488453476671234,-0.5,0.28127857773610415,0.14063928886805208,-0.14063928886805208,-0.5,0.3159369320574032,0.3159369320574032,0.25081682093575386,0.12540841046787693,13441,3314
GSM9226189,P10_MIA,MIA,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_SPP1_x0,gene,SPP1,0.0,SPP1,,395.2176615486712,0.0019805513234920184,0.0019282906661604797,-5.2260657331538746e-05,-0.02638692404062275,0.008347850952091498,0.008127576843116218,-0.00022027410897527966,-0.02638692404062287,0.23720761287488223,0.23720761287488223,0.00837249796977516,0.008137570913100894,12180,8344
GSM9226189,P10_MIA,MIA,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_SPP1_x0p5,gene,SPP1,0.5,SPP1,,395.2176615486712,0.0019805513234920184,0.0019544209948262493,-2.6130328665769156e-05,-0.013193462020311266,0.008347850952091498,0.008237713897603858,-0.00011013705448763983,-0.013193462020311434,0.23720761287488223,0.23720761287488223,0.00837249796977516,0.008255034441438028,12180,8344
GSM9226189,P10_MIA,MIA,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_TREM2_x0,gene,TREM2,0.0,TREM2,,395.2176615486712,0.0019805513234920184,0.0019355141420905689,-4.5037181401449576e-05,-0.022739719424206616,0.008347850952091498,0.008158023163645842,-0.00018982778844565604,-0.022739719424206533,0.23720761287488223,0.23720761287488223,0.00837249796977516,0.008181396061329775,12180,8344
GSM9226189,P10_MIA,MIA,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_TREM2_x0p5,gene,TREM2,0.5,TREM2,,395.2176615486712,0.0019805513234920184,0.001958032732791294,-2.2518590700724463e-05,-0.011369859712103145,0.008347850952091498,0.008252937057868672,-9.491389422282628e-05,-0.011369859712103058,0.23720761287488223,0.23720761287488223,0.00837249796977516,0.008276947015552469,12180,8344
GSM9226189,P10_MIA,MIA,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0,gene,PLA2G7,0.0,PLA2G7,,395.2176615486712,0.0019805513234920184,0.00195054601221296,-3.000531127905835e-05,-0.01514997916143589,0.008347850952091498,0.00822138118412454,-0.00012646976796695797,-0.015149979161435772,0.23720761287488223,0.23720761287488223,0.00837249796977516,0.008242557996867574,12180,8344
GSM9226189,P10_MIA,MIA,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_gene_PLA2G7_x0p5,gene,PLA2G7,0.5,PLA2G7,,395.2176615486712,0.0019805513234920184,0.001965548667852489,-1.5002655639529284e-05,-0.007574989580718,0.008347850952091498,0.008284616068108019,-6.323488398347898e-05,-0.007574989580717886,0.23720761287488223,0.23720761287488223,0.00837249796977516,0.008307527983321367,12180,8344
GSM9226189,P10_MIA,MIA,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0,axis,"SPP1,TREM2,PLA2G7",0.0,"SPP1,TREM2,PLA2G7",,395.2176615486712,0.0019805513234920184,0.0018532481734799715,-0.0001273031500120469,-0.06427662262626536,0.008347850952091498,0.0078112792867036035,-0.0005365716653878945,-0.06427662262626528,0.23720761287488223,0.23720761287488223,0.00837249796977516,0.007816529031747921,12180,8344
GSM9226189,P10_MIA,MIA,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",spp1_trem2_macrophage_epithelial_axis_SPP1_TREM2_PLA2G7_x0p5,axis,"SPP1,TREM2,PLA2G7",0.5,"SPP1,TREM2,PLA2G7",,395.2176615486712,0.0019805513234920184,0.001916899748485995,-6.365157500602334e-05,-0.03213831131313263,0.008347850952091498,0.008079565119397551,-0.00026828583269394683,-0.032138311313132585,0.23720761287488223,0.23720761287488223,0.00837249796977516,0.008094513500761541,12180,8344
