Cell_type.refined,n_cells,mean_expression,median_expression,gene
T/NK cells,64403,0.00054889533,0.0,LILRA4
,28437,0.032596685,0.0,LILRA4
B lymphocytes,27657,0.00073856337,0.0,CLEC9A
Endothelial cells,2107,0.0009869206,0.0,CLEC9A
Epithelial cells,36467,0.00028657287,0.0,CLEC9A
Fibroblasts,3794,0.0010513928,0.0,CLEC9A
MAST cells,3396,0.0,0.0,CLEC9A
Myeloid cells,42245,0.017606327,0.0,CLEC9A
T/NK cells,64403,0.00013991451,0.0,CLEC9A
,28437,0.00027597012,0.0,CLEC9A
B lymphocytes,27657,0.3369868,0.0,PTPRC
Endothelial cells,2107,0.060995195,0.0,PTPRC
Epithelial cells,36467,0.026097784,0.0,PTPRC
Fibroblasts,3794,0.05195247,0.0,PTPRC
MAST cells,3396,0.21366827,0.0,PTPRC
Myeloid cells,42245,0.7605373,0.6931472,PTPRC
T/NK cells,64403,0.7220331,0.6931472,PTPRC
,28437,0.58895767,0.6931472,PTPRC
B lymphocytes,27657,0.07472652,0.0,CD3D
Endothelial cells,2107,0.04290859,0.0,CD3D
Epithelial cells,36467,0.03795764,0.0,CD3D
Fibroblasts,3794,0.053763397,0.0,CD3D
MAST cells,3396,0.028729714,0.0,CD3D
Myeloid cells,42245,0.08874707,0.0,CD3D
T/NK cells,64403,1.1604671,1.0986123,CD3D
,28437,0.4978853,0.0,CD3D
B lymphocytes,27657,0.046016432,0.0,CD3E
Endothelial cells,2107,0.031390093,0.0,CD3E
Epithelial cells,36467,0.018420149,0.0,CD3E
Fibroblasts,3794,0.027925553,0.0,CD3E
MAST cells,3396,0.014495583,0.0,CD3E
Myeloid cells,42245,0.040487956,0.0,CD3E
T/NK cells,64403,0.90076303,1.0986123,CD3E
,28437,0.45832673,0.0,CD3E
B lymphocytes,27657,0.20723583,0.0,TRAC
Endothelial cells,2107,0.054977015,0.0,TRAC
Epithelial cells,36467,0.032592613,0.0,TRAC
Fibroblasts,3794,0.15506138,0.0,TRAC
MAST cells,3396,0.031665396,0.0,TRAC
Myeloid cells,42245,0.06920471,0.0,TRAC
T/NK cells,64403,1.3866141,1.3862944,TRAC
,28437,0.65627635,0.6931472,TRAC
B lymphocytes,27657,0.05030245,0.0,NKG7
Endothelial cells,2107,0.13293509,0.0,NKG7
Epithelial cells,36467,0.068834215,0.0,NKG7
Fibroblasts,3794,0.086544275,0.0,NKG7
MAST cells,3396,0.06499565,0.0,NKG7
Myeloid cells,42245,0.19399288,0.0,NKG7
T/NK cells,64403,0.860609,0.0,NKG7
,28437,0.9763038,0.0,NKG7
B lymphocytes,27657,0.025973251,0.0,GNLY
Endothelial cells,2107,0.087188914,0.0,GNLY
Epithelial cells,36467,0.10573159,0.0,GNLY
Fibroblasts,3794,0.067473404,0.0,GNLY
MAST cells,3396,0.034502342,0.0,GNLY
Myeloid cells,42245,0.10908943,0.0,GNLY
T/NK cells,64403,0.4420746,0.0,GNLY
,28437,0.6043849,0.0,GNLY
B lymphocytes,27657,0.92403936,1.0986123,MS4A1
Endothelial cells,2107,0.0024952518,0.0,MS4A1
Epithelial cells,36467,0.0064018196,0.0,MS4A1
Fibroblasts,3794,0.0053062835,0.0,MS4A1
MAST cells,3396,0.0058153854,0.0,MS4A1
Myeloid cells,42245,0.011327903,0.0,MS4A1
T/NK cells,64403,0.018057145,0.0,MS4A1
,28437,0.016046016,0.0,MS4A1
B lymphocytes,27657,1.5067878,1.609438,CD79A
Endothelial cells,2107,0.009259685,0.0,CD79A
Epithelial cells,36467,0.021774927,0.0,CD79A
Fibroblasts,3794,0.020182079,0.0,CD79A
MAST cells,3396,0.009558676,0.0,CD79A
Myeloid cells,42245,0.021583837,0.0,CD79A
T/NK cells,64403,0.029837359,0.0,CD79A
,28437,0.02539419,0.0,CD79A
B lymphocytes,27657,0.8612275,0.6931472,CD79B
Endothelial cells,2107,0.06902266,0.0,CD79B
Epithelial cells,36467,0.007868057,0.0,CD79B
Fibroblasts,3794,0.024702612,0.0,CD79B
MAST cells,3396,0.047168374,0.0,CD79B
Myeloid cells,42245,0.03897756,0.0,CD79B
T/NK cells,64403,0.07429869,0.0,CD79B
,28437,0.046205718,0.0,CD79B
B lymphocytes,27657,0.44688737,0.0,MZB1
Endothelial cells,2107,0.013731282,0.0,MZB1
Epithelial cells,36467,0.016451642,0.0,MZB1
Fibroblasts,3794,0.019656284,0.0,MZB1
MAST cells,3396,0.013791847,0.0,MZB1
Myeloid cells,42245,0.021237088,0.0,MZB1
T/NK cells,64403,0.022164963,0.0,MZB1
,28437,0.045672074,0.0,MZB1
B lymphocytes,27657,0.7879804,0.0,JCHAIN
Endothelial cells,2107,0.051604293,0.0,JCHAIN
Epithelial cells,36467,0.051802304,0.0,JCHAIN
Fibroblasts,3794,0.13076259,0.0,JCHAIN
MAST cells,3396,0.0675668,0.0,JCHAIN
Myeloid cells,42245,0.089801885,0.0,JCHAIN
T/NK cells,64403,0.07194126,0.0,JCHAIN
,28437,0.11519909,0.0,JCHAIN
B lymphocytes,27657,0.054818995,0.0,PECAM1
Endothelial cells,2107,1.1633453,1.0986123,PECAM1
Epithelial cells,36467,0.05419123,0.0,PECAM1
Fibroblasts,3794,0.021982586,0.0,PECAM1
