Cell_type.refined,n_cells,mean_expression,median_expression,gene
Fibroblasts,3794,0.008600728,0.0,MATK
MAST cells,3396,0.124726966,0.0,MATK
Myeloid cells,42245,0.066652596,0.0,MATK
T/NK cells,64403,0.12952285,0.0,MATK
,28437,0.16143781,0.0,MATK
B lymphocytes,27657,0.005725089,0.0,RARRES1
Endothelial cells,2107,0.02621251,0.0,RARRES1
Epithelial cells,36467,0.10474012,0.0,RARRES1
Fibroblasts,3794,0.86616117,0.6931472,RARRES1
MAST cells,3396,0.052598204,0.0,RARRES1
Myeloid cells,42245,0.09652426,0.0,RARRES1
T/NK cells,64403,0.0027203131,0.0,RARRES1
,28437,0.0055154283,0.0,RARRES1
B lymphocytes,27657,0.0033082196,0.0,SDC2
Endothelial cells,2107,0.016560476,0.0,SDC2
Epithelial cells,36467,0.16527078,0.0,SDC2
Fibroblasts,3794,0.4649013,0.0,SDC2
MAST cells,3396,0.0022451764,0.0,SDC2
Myeloid cells,42245,0.16378595,0.0,SDC2
T/NK cells,64403,0.0014395575,0.0,SDC2
,28437,0.0050122174,0.0,SDC2
B lymphocytes,27657,0.018173499,0.0,CHCHD6
Endothelial cells,2107,0.035150696,0.0,CHCHD6
Epithelial cells,36467,0.18191883,0.0,CHCHD6
Fibroblasts,3794,0.074519485,0.0,CHCHD6
MAST cells,3396,0.028270807,0.0,CHCHD6
Myeloid cells,42245,0.098601446,0.0,CHCHD6
T/NK cells,64403,0.014281653,0.0,CHCHD6
,28437,0.014678309,0.0,CHCHD6
B lymphocytes,27657,0.0015330572,0.0,RAB42
Endothelial cells,2107,0.006771907,0.0,RAB42
Epithelial cells,36467,0.034441818,0.0,RAB42
Fibroblasts,3794,0.013581565,0.0,RAB42
MAST cells,3396,0.00081642775,0.0,RAB42
Myeloid cells,42245,0.13688825,0.0,RAB42
T/NK cells,64403,0.0007812068,0.0,RAB42
,28437,0.0005748796,0.0,RAB42
B lymphocytes,27657,0.0009523662,0.0,ATP6V0D2
Endothelial cells,2107,0.00052141066,0.0,ATP6V0D2
Epithelial cells,36467,0.0017203662,0.0,ATP6V0D2
Fibroblasts,3794,0.00036539123,0.0,ATP6V0D2
MAST cells,3396,0.00081642775,0.0,ATP6V0D2
Myeloid cells,42245,0.0644246,0.0,ATP6V0D2
T/NK cells,64403,0.00037669286,0.0,ATP6V0D2
,28437,0.00036562252,0.0,ATP6V0D2
B lymphocytes,27657,0.0038861113,0.0,SNCA
Endothelial cells,2107,0.12761287,0.0,SNCA
Epithelial cells,36467,0.018664401,0.0,SNCA
Fibroblasts,3794,0.03350253,0.0,SNCA
MAST cells,3396,0.0025430566,0.0,SNCA
Myeloid cells,42245,0.100778,0.0,SNCA
T/NK cells,64403,0.001176787,0.0,SNCA
,28437,0.021456344,0.0,SNCA
B lymphocytes,27657,0.01096884,0.0,CAMK1
Endothelial cells,2107,0.12382031,0.0,CAMK1
Epithelial cells,36467,0.089467205,0.0,CAMK1
Fibroblasts,3794,0.18259875,0.0,CAMK1
MAST cells,3396,0.08097307,0.0,CAMK1
Myeloid cells,42245,0.19337262,0.0,CAMK1
T/NK cells,64403,0.020170739,0.0,CAMK1
,28437,0.014498233,0.0,CAMK1
B lymphocytes,27657,0.006974178,0.0,RAMP1
Endothelial cells,2107,0.0069643445,0.0,RAMP1
Epithelial cells,36467,0.59084296,0.0,RAMP1
Fibroblasts,3794,0.29599237,0.0,RAMP1
MAST cells,3396,0.0028574972,0.0,RAMP1
Myeloid cells,42245,0.030413805,0.0,RAMP1
T/NK cells,64403,0.011590724,0.0,RAMP1
,28437,0.019507619,0.0,RAMP1
B lymphocytes,27657,0.004503181,0.0,EEPD1
Endothelial cells,2107,0.039892863,0.0,EEPD1
Epithelial cells,36467,0.037720922,0.0,EEPD1
Fibroblasts,3794,0.029234871,0.0,EEPD1
MAST cells,3396,0.014118062,0.0,EEPD1
Myeloid cells,42245,0.07803874,0.0,EEPD1
T/NK cells,64403,0.015331748,0.0,EEPD1
,28437,0.01766506,0.0,EEPD1
B lymphocytes,27657,0.24655774,0.0,OCIAD2
Endothelial cells,2107,0.2777521,0.0,OCIAD2
Epithelial cells,36467,1.4588826,1.3862944,OCIAD2
Fibroblasts,3794,0.09088943,0.0,OCIAD2
MAST cells,3396,0.119426504,0.0,OCIAD2
Myeloid cells,42245,0.10073613,0.0,OCIAD2
T/NK cells,64403,0.3439362,0.0,OCIAD2
,28437,0.28222445,0.0,OCIAD2
B lymphocytes,27657,0.024761977,0.0,WFDC2
Endothelial cells,2107,0.05970034,0.0,WFDC2
Epithelial cells,36467,1.9827259,1.9459101,WFDC2
Fibroblasts,3794,0.13141462,0.0,WFDC2
MAST cells,3396,0.03893839,0.0,WFDC2
Myeloid cells,42245,0.08576361,0.0,WFDC2
T/NK cells,64403,0.024714502,0.0,WFDC2
,28437,0.032490134,0.0,WFDC2
B lymphocytes,27657,0.0017335553,0.0,TNS1
Endothelial cells,2107,0.1804059,0.0,TNS1
Epithelial cells,36467,0.18905272,0.0,TNS1
Fibroblasts,3794,0.28062406,0.0,TNS1
MAST cells,3396,0.04810386,0.0,TNS1
Myeloid cells,42245,0.092472896,0.0,TNS1
T/NK cells,64403,0.0012825846,0.0,TNS1
,28437,0.0067941695,0.0,TNS1
B lymphocytes,27657,0.019466825,0.0,DEXI
Endothelial cells,2107,0.10966159,0.0,DEXI
Epithelial cells,36467,0.21928017,0.0,DEXI
Fibroblasts,3794,0.18964094,0.0,DEXI
MAST cells,3396,0.060150165,0.0,DEXI
Myeloid cells,42245,0.038096745,0.0,DEXI
T/NK cells,64403,0.026899982,0.0,DEXI
,28437,0.026105046,0.0,DEXI
B lymphocytes,27657,0.0014933343,0.0,RBP4
Endothelial cells,2107,0.013432548,0.0,RBP4
Epithelial cells,36467,0.03772633,0.0,RBP4
Fibroblasts,3794,0.03086091,0.0,RBP4
MAST cells,3396,0.0064587304,0.0,RBP4
Myeloid cells,42245,0.25028056,0.0,RBP4
T/NK cells,64403,0.0023436204,0.0,RBP4
,28437,0.0058065127,0.0,RBP4
B lymphocytes,27657,0.031126592,0.0,NUPR1
Endothelial cells,2107,0.42635295,0.0,NUPR1
Epithelial cells,36467,0.7388514,0.0,NUPR1
Fibroblasts,3794,1.4627814,1.609438,NUPR1
MAST cells,3396,0.051525418,0.0,NUPR1
Myeloid cells,42245,1.0679502,0.6931472,NUPR1
T/NK cells,64403,0.025644438,0.0,NUPR1
,28437,0.049148344,0.0,NUPR1
B lymphocytes,27657,0.010769159,0.0,FABP4
Endothelial cells,2107,0.41547924,0.0,FABP4
Epithelial cells,36467,0.047844827,0.0,FABP4
Fibroblasts,3794,0.114706315,0.0,FABP4
MAST cells,3396,0.06994072,0.0,FABP4
Myeloid cells,42245,0.95056266,0.0,FABP4
T/NK cells,64403,0.029282462,0.0,FABP4
,28437,0.039782003,0.0,FABP4
B lymphocytes,27657,0.0063180663,0.0,CYP27A1
Endothelial cells,2107,0.09574858,0.0,CYP27A1
Epithelial cells,36467,0.0917295,0.0,CYP27A1
Fibroblasts,3794,0.27165565,0.0,CYP27A1
MAST cells,3396,0.012367247,0.0,CYP27A1
Myeloid cells,42245,0.63567376,0.0,CYP27A1
T/NK cells,64403,0.0058299107,0.0,CYP27A1
,28437,0.019885357,0.0,CYP27A1
B lymphocytes,27657,0.0015183967,0.0,LPL
Endothelial cells,2107,0.021068854,0.0,LPL
Epithelial cells,36467,0.037703764,0.0,LPL
Fibroblasts,3794,0.07125703,0.0,LPL
MAST cells,3396,0.008561711,0.0,LPL
Myeloid cells,42245,0.36004537,0.0,LPL
T/NK cells,64403,0.002261177,0.0,LPL
,28437,0.004035901,0.0,LPL
B lymphocytes,27657,0.011564638,0.0,SERPING1
Endothelial cells,2107,0.44571307,0.0,SERPING1
Epithelial cells,36467,0.18960042,0.0,SERPING1
Fibroblasts,3794,1.7759192,1.9459101,SERPING1
MAST cells,3396,0.02658832,0.0,SERPING1
Myeloid cells,42245,0.7216542,0.0,SERPING1
T/NK cells,64403,0.01247029,0.0,SERPING1
,28437,0.028887482,0.0,SERPING1
B lymphocytes,27657,0.0006161549,0.0,PCOLCE2
Endothelial cells,2107,0.012724597,0.0,PCOLCE2
Epithelial cells,36467,0.023975449,0.0,PCOLCE2
Fibroblasts,3794,0.310426,0.0,PCOLCE2
MAST cells,3396,0.0054418542,0.0,PCOLCE2
Myeloid cells,42245,0.26857483,0.0,PCOLCE2
T/NK cells,64403,0.0014421956,0.0,PCOLCE2
,28437,0.002887862,0.0,PCOLCE2
B lymphocytes,27657,0.006950807,0.0,SCD
Endothelial cells,2107,0.04460273,0.0,SCD
Epithelial cells,36467,0.4905646,0.0,SCD
Fibroblasts,3794,0.031775896,0.0,SCD
MAST cells,3396,0.01973907,0.0,SCD
Myeloid cells,42245,0.49020404,0.0,SCD
T/NK cells,64403,0.008191417,0.0,SCD
,28437,0.04045947,0.0,SCD
B lymphocytes,27657,0.19159038,0.0,ACP5
Endothelial cells,2107,0.09861275,0.0,ACP5
Epithelial cells,36467,0.22087453,0.0,ACP5
Fibroblasts,3794,0.24587145,0.0,ACP5
MAST cells,3396,0.13970333,0.0,ACP5
Myeloid cells,42245,1.2966514,1.0986123,ACP5
T/NK cells,64403,0.09342175,0.0,ACP5
,28437,0.07298038,0.0,ACP5
B lymphocytes,27657,0.08560015,0.0,GCHFR
Endothelial cells,2107,0.11669076,0.0,GCHFR
Epithelial cells,36467,0.6057489,0.6931472,GCHFR
Fibroblasts,3794,0.10302307,0.0,GCHFR
MAST cells,3396,0.139734,0.0,GCHFR
Myeloid cells,42245,1.0807908,0.6931472,GCHFR
T/NK cells,64403,0.118789315,0.0,GCHFR
,28437,0.1083449,0.0,GCHFR
B lymphocytes,27657,0.12932998,0.0,APOC1
Endothelial cells,2107,0.28800634,0.0,APOC1
Epithelial cells,36467,0.370676,0.0,APOC1
Fibroblasts,3794,0.31404495,0.0,APOC1
MAST cells,3396,0.5452638,0.0,APOC1
Myeloid cells,42245,2.4768496,2.7080503,APOC1
T/NK cells,64403,0.124147356,0.0,APOC1
,28437,0.14099176,0.0,APOC1
B lymphocytes,27657,0.0005263077,0.0,GPD1
Endothelial cells,2107,0.011402807,0.0,GPD1
Epithelial cells,36467,0.0066587585,0.0,GPD1
Fibroblasts,3794,0.0062352703,0.0,GPD1
MAST cells,3396,0.005495541,0.0,GPD1
Myeloid cells,42245,0.20277973,0.0,GPD1
T/NK cells,64403,0.0013560944,0.0,GPD1
,28437,0.009240048,0.0,GPD1
B lymphocytes,27657,0.009684969,0.0,TGM2
Endothelial cells,2107,0.6325054,0.6931472,TGM2
Epithelial cells,36467,0.3972231,0.0,TGM2
Fibroblasts,3794,0.6522522,0.0,TGM2
MAST cells,3396,0.011919589,0.0,TGM2
Myeloid cells,42245,0.4080028,0.0,TGM2
T/NK cells,64403,0.004155404,0.0,TGM2
,28437,0.0107105095,0.0,TGM2
B lymphocytes,27657,0.028828908,0.0,LGALS3BP
Endothelial cells,2107,0.06674906,0.0,LGALS3BP
Epithelial cells,36467,1.1449004,1.0986123,LGALS3BP
Fibroblasts,3794,1.1778675,1.0986123,LGALS3BP
MAST cells,3396,0.032376006,0.0,LGALS3BP
Myeloid cells,42245,0.64001244,0.0,LGALS3BP
T/NK cells,64403,0.057754528,0.0,LGALS3BP
,28437,0.073505394,0.0,LGALS3BP
B lymphocytes,27657,0.0032372915,0.0,PHLDA3
Endothelial cells,2107,0.08638953,0.0,PHLDA3
Epithelial cells,36467,0.45355678,0.0,PHLDA3
Fibroblasts,3794,0.41311148,0.0,PHLDA3
MAST cells,3396,0.008996384,0.0,PHLDA3
Myeloid cells,42245,0.2959867,0.0,PHLDA3
T/NK cells,64403,0.0070688464,0.0,PHLDA3
,28437,0.019637495,0.0,PHLDA3
B lymphocytes,27657,0.0015685213,0.0,CPE
Endothelial cells,2107,0.21287346,0.0,CPE
Epithelial cells,36467,0.2568873,0.0,CPE
Fibroblasts,3794,0.76612425,0.6931472,CPE
MAST cells,3396,0.0054261754,0.0,CPE
Myeloid cells,42245,0.11148051,0.0,CPE
T/NK cells,64403,0.0028539496,0.0,CPE
,28437,0.00939376,0.0,CPE
B lymphocytes,27657,0.0048644547,0.0,MCEMP1
Endothelial cells,2107,0.05121269,0.0,MCEMP1
Epithelial cells,36467,0.024585087,0.0,MCEMP1
Fibroblasts,3794,0.029324127,0.0,MCEMP1
MAST cells,3396,0.030806107,0.0,MCEMP1
Myeloid cells,42245,0.9324925,0.0,MCEMP1
T/NK cells,64403,0.010074475,0.0,MCEMP1
,28437,0.014663472,0.0,MCEMP1
B lymphocytes,27657,0.005618207,0.0,FAM89A
Endothelial cells,2107,0.14849663,0.0,FAM89A
Epithelial cells,36467,0.137033,0.0,FAM89A
Fibroblasts,3794,0.04672174,0.0,FAM89A
MAST cells,3396,0.008522463,0.0,FAM89A
Myeloid cells,42245,0.1842524,0.0,FAM89A
T/NK cells,64403,0.0067814915,0.0,FAM89A
,28437,0.0074329684,0.0,FAM89A
B lymphocytes,27657,0.0007268058,0.0,GLDN
Endothelial cells,2107,0.009937007,0.0,GLDN
Epithelial cells,36467,0.024364809,0.0,GLDN
Fibroblasts,3794,0.011754609,0.0,GLDN
MAST cells,3396,0.003504501,0.0,GLDN
Myeloid cells,42245,0.18992928,0.0,GLDN
T/NK cells,64403,0.00077044417,0.0,GLDN
,28437,0.008574353,0.0,GLDN
B lymphocytes,27657,0.001507995,0.0,INHBA
Endothelial cells,2107,0.023349065,0.0,INHBA
Epithelial cells,36467,0.018356284,0.0,INHBA
Fibroblasts,3794,0.24872063,0.0,INHBA
MAST cells,3396,0.016805923,0.0,INHBA
Myeloid cells,42245,0.49756983,0.0,INHBA
T/NK cells,64403,0.0027392006,0.0,INHBA
,28437,0.0051817554,0.0,INHBA
B lymphocytes,27657,0.0037177333,0.0,MLPH
Endothelial cells,2107,0.011377537,0.0,MLPH
Epithelial cells,36467,0.56567824,0.6931472,MLPH
Fibroblasts,3794,0.029935203,0.0,MLPH
MAST cells,3396,0.24085814,0.0,MLPH
Myeloid cells,42245,0.13538228,0.0,MLPH
T/NK cells,64403,0.0031203604,0.0,MLPH
,28437,0.004082586,0.0,MLPH
B lymphocytes,27657,0.1478138,0.0,LTA4H
Endothelial cells,2107,0.16027589,0.0,LTA4H
Epithelial cells,36467,0.5069551,0.0,LTA4H
Fibroblasts,3794,0.17221117,0.0,LTA4H
MAST cells,3396,0.05267606,0.0,LTA4H
Myeloid cells,42245,0.8483419,0.6931472,LTA4H
T/NK cells,64403,0.07676753,0.0,LTA4H
,28437,0.07470121,0.0,LTA4H
B lymphocytes,27657,0.0041546836,0.0,MME
Endothelial cells,2107,0.007814729,0.0,MME
Epithelial cells,36467,0.017836252,0.0,MME
Fibroblasts,3794,0.029610442,0.0,MME
MAST cells,3396,0.002772785,0.0,MME
Myeloid cells,42245,0.17056635,0.0,MME
T/NK cells,64403,0.0010888568,0.0,MME
,28437,0.0017632719,0.0,MME
B lymphocytes,27657,0.00020049815,0.0,SLC19A3
Endothelial cells,2107,0.0055925497,0.0,SLC19A3
Epithelial cells,36467,0.007023216,0.0,SLC19A3
Fibroblasts,3794,0.0058773044,0.0,SLC19A3
MAST cells,3396,0.00081642775,0.0,SLC19A3
Myeloid cells,42245,0.057929654,0.0,SLC19A3
T/NK cells,64403,0.00026906634,0.0,SLC19A3
,28437,0.00038999735,0.0,SLC19A3
B lymphocytes,27657,0.0033369712,0.0,PPIC
Endothelial cells,2107,0.2603524,0.0,PPIC
Epithelial cells,36467,0.59518373,0.6931472,PPIC
Fibroblasts,3794,0.77459294,0.6931472,PPIC
MAST cells,3396,0.009911891,0.0,PPIC
Myeloid cells,42245,0.23690552,0.0,PPIC
T/NK cells,64403,0.0033463761,0.0,PPIC
,28437,0.006111198,0.0,PPIC
B lymphocytes,27657,0.22046581,0.0,IFI6
Endothelial cells,2107,0.60361576,0.6931472,IFI6
Epithelial cells,36467,0.70895666,0.0,IFI6
Fibroblasts,3794,0.5781721,0.0,IFI6
MAST cells,3396,0.18912816,0.0,IFI6
Myeloid cells,42245,1.265196,1.0986123,IFI6
T/NK cells,64403,0.20646782,0.0,IFI6
,28437,0.1834546,0.0,IFI6
B lymphocytes,27657,0.027694613,0.0,G0S2
Endothelial cells,2107,0.055540778,0.0,G0S2
Epithelial cells,36467,0.2850037,0.0,G0S2
Fibroblasts,3794,0.5650411,0.0,G0S2
MAST cells,3396,0.07018832,0.0,G0S2
Myeloid cells,42245,0.7527943,0.0,G0S2
T/NK cells,64403,0.015865888,0.0,G0S2
,28437,0.018941732,0.0,G0S2
B lymphocytes,27657,0.4355876,0.0,GPR183
Endothelial cells,2107,0.035730787,0.0,GPR183
Epithelial cells,36467,0.048904903,0.0,GPR183
Fibroblasts,3794,0.058669012,0.0,GPR183
MAST cells,3396,0.073710516,0.0,GPR183
Myeloid cells,42245,0.66715616,0.0,GPR183
T/NK cells,64403,0.33980623,0.0,GPR183
,28437,0.2734644,0.0,GPR183
B lymphocytes,27657,0.0056151333,0.0,CCL17
Endothelial cells,2107,0.009403696,0.0,CCL17
Epithelial cells,36467,0.0051726094,0.0,CCL17
Fibroblasts,3794,0.008688221,0.0,CCL17
MAST cells,3396,0.0051026735,0.0,CCL17
Myeloid cells,42245,0.069146805,0.0,CCL17
T/NK cells,64403,0.0022217184,0.0,CCL17
,28437,0.0023378285,0.0,CCL17
B lymphocytes,27657,0.0020281593,0.0,NLRP3
Endothelial cells,2107,0.0053194766,0.0,NLRP3
Epithelial cells,36467,0.0033313464,0.0,NLRP3
Fibroblasts,3794,0.0053880326,0.0,NLRP3
MAST cells,3396,0.008691886,0.0,NLRP3
Myeloid cells,42245,0.14769883,0.0,NLRP3
T/NK cells,64403,0.0043976684,0.0,NLRP3
,28437,0.0038167324,0.0,NLRP3
B lymphocytes,27657,0.08275637,0.0,SERPINB9
Endothelial cells,2107,0.12772557,0.0,SERPINB9
Epithelial cells,36467,0.046870913,0.0,SERPINB9
Fibroblasts,3794,0.11676606,0.0,SERPINB9
MAST cells,3396,0.053615417,0.0,SERPINB9
Myeloid cells,42245,0.20996699,0.0,SERPINB9
T/NK cells,64403,0.078619264,0.0,SERPINB9
,28437,0.07350481,0.0,SERPINB9
B lymphocytes,27657,0.004508916,0.0,PTGS2
Endothelial cells,2107,0.07651434,0.0,PTGS2
Epithelial cells,36467,0.3680271,0.0,PTGS2
Fibroblasts,3794,0.15529278,0.0,PTGS2
MAST cells,3396,0.28592673,0.0,PTGS2
Myeloid cells,42245,0.20069686,0.0,PTGS2
T/NK cells,64403,0.0031360677,0.0,PTGS2
,28437,0.0052549983,0.0,PTGS2
B lymphocytes,27657,0.059263133,0.0,CCL4L2
Endothelial cells,2107,0.0625557,0.0,CCL4L2
Epithelial cells,36467,0.1438808,0.0,CCL4L2
Fibroblasts,3794,0.09643218,0.0,CCL4L2
MAST cells,3396,0.09633044,0.0,CCL4L2
Myeloid cells,42245,0.9202561,0.6931472,CCL4L2
T/NK cells,64403,0.24154012,0.0,CCL4L2
,28437,0.28666466,0.0,CCL4L2
B lymphocytes,27657,0.01585643,0.0,GRASP
Endothelial cells,2107,0.101294816,0.0,GRASP
Epithelial cells,36467,0.00414044,0.0,GRASP
Fibroblasts,3794,0.025336174,0.0,GRASP
MAST cells,3396,0.024392774,0.0,GRASP
Myeloid cells,42245,0.042864937,0.0,GRASP
T/NK cells,64403,0.0033006875,0.0,GRASP
,28437,0.0073171086,0.0,GRASP
B lymphocytes,27657,0.51600194,0.0,RGS1
Endothelial cells,2107,0.06308618,0.0,RGS1
Epithelial cells,36467,0.07612011,0.0,RGS1
Fibroblasts,3794,0.11069878,0.0,RGS1
MAST cells,3396,1.5129392,1.3862944,RGS1
Myeloid cells,42245,0.7600704,0.0,RGS1
T/NK cells,64403,0.69157124,0.0,RGS1
,28437,0.5076168,0.0,RGS1
B lymphocytes,27657,0.2674297,0.0,PMAIP1
Endothelial cells,2107,0.080643184,0.0,PMAIP1
Epithelial cells,36467,0.45700526,0.0,PMAIP1
Fibroblasts,3794,0.06574957,0.0,PMAIP1
MAST cells,3396,0.038634222,0.0,PMAIP1
Myeloid cells,42245,0.2087004,0.0,PMAIP1
T/NK cells,64403,0.1666118,0.0,PMAIP1
,28437,0.14343074,0.0,PMAIP1
B lymphocytes,27657,0.0376656,0.0,IER3
Endothelial cells,2107,0.42354828,0.0,IER3
Epithelial cells,36467,0.87568235,0.6931472,IER3
Fibroblasts,3794,1.0767578,0.6931472,IER3
MAST cells,3396,0.32313144,0.0,IER3
Myeloid cells,42245,1.0246581,0.6931472,IER3
T/NK cells,64403,0.04257924,0.0,IER3
,28437,0.053891405,0.0,IER3
B lymphocytes,27657,0.042093482,0.0,ICAM1
Endothelial cells,2107,0.3893692,0.0,ICAM1
Epithelial cells,36467,0.65293235,0.0,ICAM1
Fibroblasts,3794,0.38425806,0.0,ICAM1
MAST cells,3396,0.19502124,0.0,ICAM1
Myeloid cells,42245,0.3844046,0.0,ICAM1
T/NK cells,64403,0.020953467,0.0,ICAM1
,28437,0.030380815,0.0,ICAM1
B lymphocytes,27657,0.003951811,0.0,EREG
Endothelial cells,2107,0.010215974,0.0,EREG
Epithelial cells,36467,0.30907556,0.0,EREG
Fibroblasts,3794,0.01467722,0.0,EREG
MAST cells,3396,0.0082146395,0.0,EREG
Myeloid cells,42245,0.3888157,0.0,EREG
T/NK cells,64403,0.0035642846,0.0,EREG
,28437,0.004648551,0.0,EREG
B lymphocytes,27657,0.25638413,0.0,DUSP2
Endothelial cells,2107,0.091385,0.0,DUSP2
Epithelial cells,36467,0.10520225,0.0,DUSP2
Fibroblasts,3794,0.12585473,0.0,DUSP2
MAST cells,3396,0.20878862,0.0,DUSP2
Myeloid cells,42245,0.5244549,0.0,DUSP2
T/NK cells,64403,0.5354542,0.0,DUSP2
,28437,0.5383423,0.0,DUSP2
B lymphocytes,27657,0.040803824,0.0,PPIF
Endothelial cells,2107,0.035399035,0.0,PPIF
Epithelial cells,36467,0.18778177,0.0,PPIF
Fibroblasts,3794,0.09536862,0.0,PPIF
MAST cells,3396,0.033843096,0.0,PPIF
Myeloid cells,42245,0.38030204,0.0,PPIF
T/NK cells,64403,0.033782274,0.0,PPIF
,28437,0.035619404,0.0,PPIF
B lymphocytes,27657,0.9242115,1.0986123,CORO1A
Endothelial cells,2107,0.06864876,0.0,CORO1A
Epithelial cells,36467,0.16981286,0.0,CORO1A
Fibroblasts,3794,0.0845597,0.0,CORO1A
MAST cells,3396,0.17257859,0.0,CORO1A
Myeloid cells,42245,0.64924216,0.6931472,CORO1A
T/NK cells,64403,1.0939955,1.0986123,CORO1A
,28437,0.8695727,0.6931472,CORO1A
B lymphocytes,27657,0.23424926,0.0,PDE4B
Endothelial cells,2107,0.10541506,0.0,PDE4B
Epithelial cells,36467,0.03024812,0.0,PDE4B
Fibroblasts,3794,0.04620827,0.0,PDE4B
MAST cells,3396,0.016347893,0.0,PDE4B
Myeloid cells,42245,0.24616596,0.0,PDE4B
T/NK cells,64403,0.116910346,0.0,PDE4B
,28437,0.11686436,0.0,PDE4B
B lymphocytes,27657,0.1017659,0.0,CCL4
Endothelial cells,2107,0.12475144,0.0,CCL4
Epithelial cells,36467,0.16999875,0.0,CCL4
Fibroblasts,3794,0.15698285,0.0,CCL4
MAST cells,3396,0.13220528,0.0,CCL4
Myeloid cells,42245,1.1056839,0.6931472,CCL4
T/NK cells,64403,0.6028545,0.0,CCL4
,28437,0.667456,0.0,CCL4
B lymphocytes,27657,0.0067335395,0.0,LGALS2
Endothelial cells,2107,0.0118522905,0.0,LGALS2
Epithelial cells,36467,0.006794462,0.0,LGALS2
Fibroblasts,3794,0.02052285,0.0,LGALS2
MAST cells,3396,0.0043866364,0.0,LGALS2
Myeloid cells,42245,0.2676092,0.0,LGALS2
T/NK cells,64403,0.0036314987,0.0,LGALS2
,28437,0.004023297,0.0,LGALS2
B lymphocytes,27657,0.054765232,0.0,MIR155HG
Endothelial cells,2107,0.014009325,0.0,MIR155HG
Epithelial cells,36467,0.0063060275,0.0,MIR155HG
Fibroblasts,3794,0.01059072,0.0,MIR155HG
MAST cells,3396,0.0084030675,0.0,MIR155HG
Myeloid cells,42245,0.13072799,0.0,MIR155HG
T/NK cells,64403,0.031157773,0.0,MIR155HG
,28437,0.024506006,0.0,MIR155HG
B lymphocytes,27657,0.06439274,0.0,PRDM1
Endothelial cells,2107,0.109143555,0.0,PRDM1
Epithelial cells,36467,0.04317835,0.0,PRDM1
Fibroblasts,3794,0.05132317,0.0,PRDM1
MAST cells,3396,0.0042015337,0.0,PRDM1
Myeloid cells,42245,0.15020135,0.0,PRDM1
T/NK cells,64403,0.09945885,0.0,PRDM1
,28437,0.08227015,0.0,PRDM1
B lymphocytes,27657,0.00655026,0.0,VEGFA
Endothelial cells,2107,0.03695201,0.0,VEGFA
Epithelial cells,36467,0.59833443,0.0,VEGFA
Fibroblasts,3794,0.16503198,0.0,VEGFA
MAST cells,3396,0.13611928,0.0,VEGFA
Myeloid cells,42245,0.1585531,0.0,VEGFA
T/NK cells,64403,0.0032284646,0.0,VEGFA
,28437,0.0055236956,0.0,VEGFA
B lymphocytes,27657,0.025859792,0.0,ARL5B
Endothelial cells,2107,0.13149378,0.0,ARL5B
Epithelial cells,36467,0.19523574,0.0,ARL5B
Fibroblasts,3794,0.12618297,0.0,ARL5B
MAST cells,3396,0.11041616,0.0,ARL5B
Myeloid cells,42245,0.11917805,0.0,ARL5B
T/NK cells,64403,0.022206903,0.0,ARL5B
,28437,0.025470063,0.0,ARL5B
B lymphocytes,27657,0.4032089,0.0,CD44
Endothelial cells,2107,0.10430039,0.0,CD44
Epithelial cells,36467,0.546977,0.0,CD44
Fibroblasts,3794,0.5612306,0.6931472,CD44
MAST cells,3396,1.0940703,1.0986123,CD44
Myeloid cells,42245,1.4406369,1.609438,CD44
T/NK cells,64403,0.5626079,0.6931472,CD44
,28437,0.48440188,0.6931472,CD44
B lymphocytes,27657,0.0059671947,0.0,ITGAV
Endothelial cells,2107,0.12995364,0.0,ITGAV
Epithelial cells,36467,0.3155922,0.0,ITGAV
Fibroblasts,3794,0.28165537,0.0,ITGAV
MAST cells,3396,0.039754815,0.0,ITGAV
Myeloid cells,42245,0.1273207,0.0,ITGAV
T/NK cells,64403,0.00747315,0.0,ITGAV
,28437,0.014185529,0.0,ITGAV
B lymphocytes,27657,0.14185078,0.0,ITGB1
Endothelial cells,2107,0.80229735,0.6931472,ITGB1
Epithelial cells,36467,0.6279823,0.6931472,ITGB1
Fibroblasts,3794,1.0041921,1.0986123,ITGB1
MAST cells,3396,0.09318415,0.0,ITGB1
Myeloid cells,42245,0.5167796,0.6931472,ITGB1
T/NK cells,64403,0.22803265,0.0,ITGB1
,28437,0.20524415,0.0,ITGB1
B lymphocytes,27657,0.002736046,0.0,ITGA5
Endothelial cells,2107,0.32566932,0.0,ITGA5
Epithelial cells,36467,0.029936824,0.0,ITGA5
Fibroblasts,3794,0.10673844,0.0,ITGA5
MAST cells,3396,0.0168755,0.0,ITGA5
Myeloid cells,42245,0.20029314,0.0,ITGA5
T/NK cells,64403,0.024743196,0.0,ITGA5
,28437,0.02523648,0.0,ITGA5
B lymphocytes,27657,0.0017690193,0.0,IL1R1
Endothelial cells,2107,0.15465659,0.0,IL1R1
Epithelial cells,36467,0.24403377,0.0,IL1R1
Fibroblasts,3794,0.34143376,0.0,IL1R1
MAST cells,3396,0.0028574972,0.0,IL1R1
Myeloid cells,42245,0.034932002,0.0,IL1R1
T/NK cells,64403,0.0051671634,0.0,IL1R1
,28437,0.0046069236,0.0,IL1R1
B lymphocytes,27657,0.005643269,0.0,IL1RAP
Endothelial cells,2107,0.014201761,0.0,IL1RAP
