Sample_Origin,Cell_type.refined,n_cells,mean_score,median_score,sd_score,score
nLung,Epithelial cells,3703,0.14361511,0.099021025,0.17281167,neutrophil
nLung,Fibroblasts,1585,0.033965085,0.0,0.08470648,neutrophil
nLung,MAST cells,1079,0.029717118,0.0,0.08710886,neutrophil
nLung,Myeloid cells,16672,0.5427921,0.5588604,0.31047904,neutrophil
nLung,T/NK cells,11413,0.02071774,0.0,0.04747333,neutrophil
nLung,,6614,0.02301336,0.0,0.05509464,neutrophil
tL/B,B lymphocytes,469,0.039905027,0.0,0.076790035,neutrophil
tL/B,Epithelial cells,6582,0.18207945,0.099021025,0.20557897,neutrophil
tL/B,Myeloid cells,1329,0.5340629,0.42796177,0.46049562,neutrophil
tL/B,T/NK cells,2627,0.025966361,0.0,0.053772964,neutrophil
tL/B,,963,0.026069298,0.0,0.05450926,neutrophil
tLung,B lymphocytes,5312,0.015656494,0.0,0.0425039,neutrophil
tLung,Endothelial cells,627,0.02271818,0.0,0.059523154,neutrophil
tLung,Epithelial cells,7270,0.20934932,0.15694462,0.20258744,neutrophil
tLung,Fibroblasts,1654,0.023333678,0.0,0.056972526,neutrophil
tLung,MAST cells,1809,0.012106223,0.0,0.03968182,neutrophil
tLung,Myeloid cells,8794,0.46042737,0.3960841,0.37057,neutrophil
tLung,T/NK cells,13941,0.012473775,0.0,0.035703756,neutrophil
tLung,,5742,0.011285129,0.0,0.034467395,neutrophil
PE,B lymphocytes,3285,0.013193466,0.0,0.04820808,dendritic
PE,Epithelial cells,396,0.027906481,0.0,0.100660175,dendritic
PE,Myeloid cells,3063,0.36871946,0.21972246,0.47187093,dendritic
PE,T/NK cells,9192,0.0038546126,0.0,0.024257185,dendritic
PE,,4368,0.030438902,0.0,0.1093253,dendritic
mBrain,B lymphocytes,1311,0.008103211,0.0,0.040855844,dendritic
mBrain,Endothelial cells,159,0.00087188324,0.0,0.010994029,dendritic
mBrain,Epithelial cells,15463,0.0007082536,0.0,0.0098838,dendritic
mBrain,Fibroblasts,444,0.0019264262,0.0,0.021952264,dendritic
mBrain,MAST cells,508,0.05077025,0.0,0.08660634,dendritic
mBrain,Myeloid cells,5657,0.05937133,0.0,0.17393224,dendritic
mBrain,T/NK cells,2683,0.0006717043,0.0,0.009628154,dendritic
mBrain,,2835,0.00073348905,0.0,0.010711835,dendritic
mLN,B lymphocytes,6062,0.018108873,0.0,0.05743652,dendritic
mLN,Epithelial cells,3053,0.0058162734,0.0,0.044004492,dendritic
mLN,Myeloid cells,5442,0.073153965,0.0,0.19130568,dendritic
mLN,T/NK cells,5069,0.00068371196,0.0,0.009712556,dendritic
mLN,,1819,0.0005334833,0.0,0.010770167,dendritic
nLN,B lymphocytes,10584,0.020742618,0.0,0.059167452,dendritic
nLN,Myeloid cells,1288,0.17674953,0.0,0.33145338,dendritic
nLN,T/NK cells,19478,0.0008469505,0.0,0.010893776,dendritic
nLN,,6096,0.016616773,0.0,0.08357895,dendritic
nLung,B lymphocytes,634,0.108638115,0.0,0.18593724,dendritic
nLung,Endothelial cells,1295,0.0022463007,0.0,0.035441767,dendritic
nLung,Epithelial cells,3703,0.002959553,0.0,0.023737866,dendritic
nLung,Fibroblasts,1585,0.0048145396,0.0,0.045895997,dendritic
nLung,MAST cells,1079,0.12415918,0.13862944,0.12454851,dendritic
nLung,Myeloid cells,16672,0.07120619,0.0,0.2370436,dendritic
nLung,T/NK cells,11413,0.00070450426,0.0,0.009857851,dendritic
nLung,,6614,0.00097399304,0.0,0.018079806,dendritic
tL/B,B lymphocytes,469,0.011505596,0.0,0.04361777,dendritic
tL/B,Epithelial cells,6582,0.0013288952,0.0,0.017496508,dendritic
tL/B,Myeloid cells,1329,0.06885024,0.0,0.18486238,dendritic
tL/B,T/NK cells,2627,0.00047493906,0.0,0.008101849,dendritic
tL/B,,963,0.0004318674,0.0,0.007729493,dendritic
tLung,B lymphocytes,5312,0.014324159,0.0,0.050297193,dendritic
tLung,Endothelial cells,627,0.005966086,0.0,0.04650894,dendritic
tLung,Epithelial cells,7270,0.003681723,0.0,0.034328904,dendritic
tLung,Fibroblasts,1654,0.0064399373,0.0,0.045672785,dendritic
tLung,MAST cells,1809,0.11093854,0.13862944,0.11879723,dendritic
tLung,Myeloid cells,8794,0.13480367,0.0,0.2946465,dendritic
tLung,T/NK cells,13941,0.0015297038,0.0,0.015837584,dendritic
tLung,,5742,0.0014674478,0.0,0.016631918,dendritic
