perturbation_id,axis_id,evidence_type,stage,n_samples,baseline_panel_mean,perturbed_panel_mean,panel_mean_delta_mean,baseline_observed_fraction,perturbed_observed_fraction,observed_fraction_delta_mean
mif_cd74_cxcr4_gene_CD44_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,MIA,4,0.062023656215,0.056622779036,-0.005400877179,0.601061056327,0.598217035668,-0.002844020659
mif_cd74_cxcr4_gene_CD44_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,Normal,1,0.10942720767,0.102377139137,-0.007050068533,0.46803726309,0.464824927722,-0.003212335368
mif_cd74_cxcr4_gene_CD74_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,AAH,11,0.597989103971,0.214226732575,-0.383762371396,0.48640642353,0.501362640486,0.014956216956
mif_cd74_cxcr4_gene_CD74_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,AIS,14,0.34827856845,0.126474237907,-0.221804330543,0.526843210105,0.544069264284,0.017226054179
mif_cd74_cxcr4_gene_CD74_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,LUAD,26,0.581349786788,0.212427750888,-0.368922035901,0.572474847366,0.563416639119,-0.009058208246
mif_cd74_cxcr4_gene_CD74_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,MIA,4,0.062023656215,0.012863689359,-0.049159966856,0.601061056327,0.603053990868,0.001992934542
mif_cd74_cxcr4_gene_CD74_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,Normal,1,0.10942720767,0.015779436664,-0.093647771006,0.46803726309,0.454866688082,-0.013170575008
mif_cd74_cxcr4_gene_CD74_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,AAH,11,0.597989103971,0.406107918273,-0.191881185698,0.48640642353,0.492996714362,0.006590290832
mif_cd74_cxcr4_gene_CD74_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,AIS,14,0.34827856845,0.237376403179,-0.110902165271,0.526843210105,0.533820126177,0.006976916072
mif_cd74_cxcr4_gene_CD74_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,LUAD,26,0.581349786788,0.396888768838,-0.18446101795,0.572474847366,0.578146883027,0.005672035661
