Sample_Origin,Cell_type.refined,n_cells,mean_expression,median_expression,gene
tL/B,T/NK cells,2627,0.050396744,0.0,KRT19
tL/B,,963,0.046338927,0.0,KRT19
tLung,B lymphocytes,5312,0.039239906,0.0,KRT19
tLung,Endothelial cells,627,0.040070698,0.0,KRT19
tLung,Epithelial cells,7270,2.024113,1.9459101,KRT19
tLung,Fibroblasts,1654,0.1122254,0.0,KRT19
tLung,MAST cells,1809,0.16340336,0.0,KRT19
tLung,Myeloid cells,8794,0.09744022,0.0,KRT19
tLung,T/NK cells,13941,0.059523888,0.0,KRT19
tLung,,5742,0.06632871,0.0,KRT19
PE,B lymphocytes,3285,0.0065411148,0.0,CLDN4
PE,Epithelial cells,396,1.4528289,1.0986123,CLDN4
PE,Myeloid cells,3063,0.013710185,0.0,CLDN4
PE,T/NK cells,9192,0.0071637277,0.0,CLDN4
PE,,4368,0.007617002,0.0,CLDN4
mBrain,B lymphocytes,1311,0.07288335,0.0,CLDN4
mBrain,Endothelial cells,159,0.16533005,0.0,CLDN4
mBrain,Epithelial cells,15463,1.7167531,1.7917595,CLDN4
mBrain,Fibroblasts,444,0.15620121,0.0,CLDN4
mBrain,MAST cells,508,0.038204964,0.0,CLDN4
mBrain,Myeloid cells,5657,0.10328224,0.0,CLDN4
mBrain,T/NK cells,2683,0.050212324,0.0,CLDN4
mBrain,,2835,0.053896938,0.0,CLDN4
mLN,B lymphocytes,6062,0.012139786,0.0,CLDN4
mLN,Epithelial cells,3053,1.512735,1.609438,CLDN4
mLN,Myeloid cells,5442,0.05174839,0.0,CLDN4
mLN,T/NK cells,5069,0.019577399,0.0,CLDN4
mLN,,1819,0.030420627,0.0,CLDN4
nLN,B lymphocytes,10584,6.5490094e-05,0.0,CLDN4
nLN,Myeloid cells,1288,0.00053815776,0.0,CLDN4
nLN,T/NK cells,19478,3.558616e-05,0.0,CLDN4
nLN,,6096,0.0,0.0,CLDN4
nLung,B lymphocytes,634,0.0043731686,0.0,CLDN4
nLung,Endothelial cells,1295,0.005352488,0.0,CLDN4
nLung,Epithelial cells,3703,0.9659228,0.6931472,CLDN4
nLung,Fibroblasts,1585,0.026536254,0.0,CLDN4
nLung,MAST cells,1079,0.0038543865,0.0,CLDN4
nLung,Myeloid cells,16672,0.017936375,0.0,CLDN4
nLung,T/NK cells,11413,0.005162316,0.0,CLDN4
nLung,,6614,0.004716,0.0,CLDN4
tL/B,B lymphocytes,469,0.035721354,0.0,CLDN4
tL/B,Epithelial cells,6582,1.9429859,2.0794415,CLDN4
tL/B,Myeloid cells,1329,0.07094174,0.0,CLDN4
tL/B,T/NK cells,2627,0.0243195,0.0,CLDN4
tL/B,,963,0.023155237,0.0,CLDN4
tLung,B lymphocytes,5312,0.029091353,0.0,CLDN4
tLung,Endothelial cells,627,0.026719801,0.0,CLDN4
tLung,Epithelial cells,7270,1.6490883,1.609438,CLDN4
tLung,Fibroblasts,1654,0.037208445,0.0,CLDN4
tLung,MAST cells,1809,0.0155507745,0.0,CLDN4
tLung,Myeloid cells,8794,0.052739013,0.0,CLDN4
tLung,T/NK cells,13941,0.021185532,0.0,CLDN4
tLung,,5742,0.021961106,0.0,CLDN4
PE,B lymphocytes,3285,0.0069631226,0.0,MUC1
PE,Epithelial cells,396,1.4117451,0.6931472,MUC1
PE,Myeloid cells,3063,0.04037918,0.0,MUC1
PE,T/NK cells,9192,0.0108587025,0.0,MUC1
PE,,4368,0.011359642,0.0,MUC1
mBrain,B lymphocytes,1311,0.15332258,0.0,MUC1
mBrain,Endothelial cells,159,0.19041799,0.0,MUC1
mBrain,Epithelial cells,15463,1.6693107,1.7917595,MUC1
mBrain,Fibroblasts,444,0.20725437,0.0,MUC1
mBrain,MAST cells,508,0.1141534,0.0,MUC1
mBrain,Myeloid cells,5657,0.12549691,0.0,MUC1
mBrain,T/NK cells,2683,0.07302886,0.0,MUC1
mBrain,,2835,0.06221311,0.0,MUC1
mLN,B lymphocytes,6062,0.012368472,0.0,MUC1
mLN,Epithelial cells,3053,1.568085,1.7917595,MUC1
mLN,Myeloid cells,5442,0.055622358,0.0,MUC1
mLN,T/NK cells,5069,0.018209973,0.0,MUC1
mLN,,1819,0.018924091,0.0,MUC1
