"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","RAB11FIP1",1.35610545957641e-05,0.818733944012771,2.04277108473205,0.152930831171536,0.73618397936611
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","UBE2T",1.34375279521523e-05,0.816635480939411,2.00572567708758,0.156706287759058,0.73618397936611
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","ECI1",1.33744793199258e-05,0.81555763984242,1.98694817707371,0.158660340380627,0.73618397936611
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","C1QC",1.28097000533338e-05,0.805690780103271,1.82268111662276,0.176994467282392,0.756123579487671
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","MARCO",1.27013810334257e-05,0.803753288447491,1.79198620707411,0.180684350580277,0.756123579487671
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","IFI6",1.252364442564e-05,0.800541314309519,1.74218483898713,0.186862231156723,0.756123579487671
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","ITGB1",1.24622831291568e-05,0.799422784133475,1.72515452023781,0.189030894871918,0.756123579487671
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","NLRP3",1.19446584028945e-05,0.789782522294339,1.58482108786143,0.20806761917376,0.804528127471874
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","C1QA",1.17493306667042e-05,0.786045678500493,1.53341259480903,0.215600996799021,0.806765020280206
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","IL1RAP",1.1403321711935e-05,0.779285143379492,1.44442676334608,0.22942433509006,0.825396117748888
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","PPIF",1.11635154649639e-05,0.774489270276649,1.38431437813886,0.239367616672057,0.825396117748888
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","C1QB",1.10738170862393e-05,0.772671277578481,1.36215793425777,0.243163842627039,0.825396117748888
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","HAMP",1.09368487822264e-05,0.769869206827194,1.32867017936362,0.249041932079406,0.825396117748888
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","HMGB3",1.06998105795248e-05,0.764943596781051,1.27170082123301,0.259447849358675,0.835998625711288
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","KRT19",1.0408901037158e-05,0.758761007534369,1.20349012745168,0.272625228496385,0.854716932583262
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","KRT7",1.01888089157585e-05,0.753978106753005,1.15313354968307,0.282894147414052,0.863571607895528
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","EEPD1",9.47015574115535e-06,0.737677893783984,0.996201096659421,0.318231480600872,0.946534660248748
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","IL1R1",8.31386408456109e-06,0.708922794466758,0.76778321541831,0.380903707186363,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","SERPINB9",8.19829171710106e-06,0.705851667079853,0.746585426632897,0.387559462904437,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","TREM2",8.1610541277765e-06,0.704853751179021,0.739818674559032,0.389718969306123,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","LTA4H",7.25349790389393e-06,0.679153965361313,0.584423610258004,0.444583611873407,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CYP27A1",7.12279459032066e-06,0.675214185160009,0.563551504287197,0.452832816372342,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","GCHFR",7.09539687641751e-06,0.67438000535508,0.559224458830559,0.454572888735897,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","TK1",6.96953497755087e-06,0.670509818551516,0.539560783951652,0.462614808823236,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","ITGAV",6.9127839400461e-06,0.668743911742952,0.53080956407413,0.466266700701107,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","HMGB2",6.63888461246293e-06,0.660031060394816,0.489579262614918,0.484115045790232,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","LRP1",5.58784324730319e-06,0.623241272745806,0.346833630703409,0.555911030988831,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CLDN7",5.27245584880549e-06,0.610968091807877,0.308786764087473,0.578425631278256,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","TACSTD2",4.66780770557243e-06,0.585443662729763,0.242024140344139,0.622747981178727,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","SPINT1",4.53559708523191e-06,0.579463467342973,0.228508157250146,0.632632220434061,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","ANXA3",4.32247503225937e-06,0.569481014396384,0.207538063321008,0.648703926135608,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","TNFRSF12A",4.18312958902489e-06,0.562709154655397,0.194372764069114,0.659301852451164,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","MME",4.07439223428126e-06,0.557280661348445,0.184398950023787,0.667619792744802,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","GPD1",3.85842585056556e-06,0.546096309782259,0.165368615419695,0.684261100872964,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","PDE4B",3.7224114367209e-06,0.538756387836437,0.153915203443653,0.694821579760844,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CAMK1",3.04844909199305e-06,0.498335531226955,0.103226372677773,0.747991685069042,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","SOX4",3.01699482819009e-06,0.496256419338121,0.101107158310866,0.750505024585897,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","GDF15",2.92804697551129e-06,0.49026841941017,0.0952333042249072,0.75762662919292,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","PCNA",2.86657867148293e-06,0.486032863570761,0.0912768204602679,0.762560175272774,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CD44",2.35859987030018e-06,0.447470708781255,0.0617932893033587,0.80368369995795,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","TYMS",2.08987159400036e-06,0.423893680590017,0.0485145468246115,0.82566853048705,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","CXCR3",1.99435896164855e-06,0.414844615014449,0.0441813956829909,0.833516488678221,0.999999999999067
"GSE308103","epithelial","MIF",116,90,"original_scTenifoldKnk_smoke","DEK",1.84476002229594e-06,0.399846007975871,0.0378018043460628,0.845841659030722,0.999999999999067
