signature,rank,gene,expected_celltype,top_celltype,top_mean_expression,specificity_status
c1q_macrophage_vs_other_macrophage,4,MARCO,Myeloid cells,Myeloid cells,1.3174621,expected
c1q_macrophage_vs_other_macrophage,5,CYP27A1,Myeloid cells,Myeloid cells,0.63567376,expected
c1q_macrophage_vs_other_macrophage,6,LPL,Myeloid cells,Myeloid cells,0.36004537,expected
c1q_macrophage_vs_other_macrophage,7,SERPING1,Myeloid cells,Fibroblasts,1.7759192,off_target
c1q_macrophage_vs_other_macrophage,8,PCOLCE2,Myeloid cells,Fibroblasts,0.310426,off_target
c1q_macrophage_vs_other_macrophage,9,SCD,Myeloid cells,Epithelial cells,0.4905646,off_target
c1q_macrophage_vs_other_macrophage,10,ACP5,Myeloid cells,Myeloid cells,1.2966514,expected
c1q_macrophage_vs_other_macrophage,11,GCHFR,Myeloid cells,Myeloid cells,1.0807908,expected
c1q_macrophage_vs_other_macrophage,12,APOC1,Myeloid cells,Myeloid cells,2.4768496,expected
c1q_macrophage_vs_other_macrophage,13,GPD1,Myeloid cells,Myeloid cells,0.20277973,expected
c1q_macrophage_vs_other_macrophage,14,TGM2,Myeloid cells,Fibroblasts,0.6522522,off_target
c1q_macrophage_vs_other_macrophage,15,PPARG,Myeloid cells,Myeloid cells,0.3542847,expected
c1q_macrophage_vs_other_macrophage,16,LGALS3BP,Myeloid cells,Fibroblasts,1.1778675,off_target
c1q_macrophage_vs_other_macrophage,17,PHLDA3,Myeloid cells,Epithelial cells,0.45355678,off_target
c1q_macrophage_vs_other_macrophage,18,APOE,Myeloid cells,Myeloid cells,2.151701,expected
c1q_macrophage_vs_other_macrophage,19,CPE,Myeloid cells,Fibroblasts,0.76612425,off_target
c1q_macrophage_vs_other_macrophage,20,MCEMP1,Myeloid cells,Myeloid cells,0.9324925,expected
c1q_macrophage_vs_other_macrophage,21,FAM89A,Myeloid cells,Myeloid cells,0.1842524,expected
c1q_macrophage_vs_other_macrophage,22,GLDN,Myeloid cells,Myeloid cells,0.18992928,expected
c1q_macrophage_vs_other_macrophage,23,INHBA,Myeloid cells,Myeloid cells,0.49756983,expected
